gene_id	short_gene_id	APA_change	pvalue	APA_type	chrom	strand	gene_name	number_of_PAS	PAS_coordinates	PAS_read_counts	PAS_PAUs	PAUs_control	PAUs_experimental	PAU_changes	P_adj	APA_trend
ENSG00000213390.11	ENSG00000213390	-0.142631993695823	0.231315495213522	Mixed_APA	chr10	-	ARHGAP19	3	97222178,97222208,97227764	105,3,3	86.78,2.48,2.48	88.3,3.19,2.13	81.48,0,3.7	-6.82,-3.19,1.57	0.358043799719039	no change
ENSG00000177879.17	ENSG00000177879	-0.0904976691140213	0.0090206435297705	Last_exon_tandem_APA	chr5	+	AP3S1	2	115914081,115913987	670,470	58.26,40.87	61.41,36.02	52.73,44.97	-8.68,8.95	0.0376993971754374	no change
ENSG00000185798.8	ENSG00000185798	0.21875	0.0552913330087056	Mixed_APA	chr3	-	WDR53	3	196554187,196552227,196559863	89,7,5	82.41,6.48,4.63	67.11,0,3.95	56.25,21.88,6.25	-10.86,21.88,2.3	0.14158662397772	no change
ENSG00000113575.12	ENSG00000113575	0.0891083941259292	4.51482365992906e-05	Last_exon_tandem_APA	chr5	-	PPP2CA	8	134197096,134196732,134196968,134196545,134197024,134193977,134196265,134196481	1569,220,172,81,57,46,34,27	62.16,8.72,6.81,3.21,2.26,1.82,1.35,1.07	66.36,9.53,7.09,2.14,3.13,2.21,1.45,1.14	58.53,9.65,7.83,5.11,2.23,2.39,3.3,2.14	-7.83,0.12,0.74,2.97,-0.9,0.18,1.85,1	0.000460123421468874	no change
ENSG00000110367.14	ENSG00000110367	0.49471811713191	0	Last_exon_tandem_APA	chr11	-	DDX6	9	118747762,118751365,118751911,118754561,118749889,118751769,118751528,118751103,118751322	233,60,33,13,12,11,10,5,4	58.69,15.11,8.31,3.27,3.02,2.77,2.52,1.26,1.01	31.75,21.83,12.7,3.17,3.97,3.97,3.17,1.59,0.79	64.83,3.45,0.69,0.69,1.38,0,0.69,0.69,0.69	33.08,-18.38,-12.01,-2.48,-2.59,-3.97,-2.48,-0.9,-0.1	0	longer
ENSG00000168303.9	ENSG00000168303	0.142588887178698	0.00189165874753305	Last_exon_tandem_APA	chr7	-	MPLKIP	2	40132742,40126026	597,14	94.46,2.22	92.05,1.92	91.76,2.62	-0.29,0.7	0.0107945701135383	longer
ENSG00000103512.16	ENSG00000103512	0.0614418735891648	0.0862987839399378	Last_exon_tandem_APA	chr16	+	NOMO1	2	14896157,14895922	1325,45	94.78,3.22	92.77,2.73	92.44,3.27	-0.33,0.54	0.191237169749161	no change
ENSG00000166452.12	ENSG00000166452	0.110670383076043	0.129219104725454	Last_exon_tandem_APA	chr11	+	AKIP1	2	8920079,8919552	231,98	68.96,29.25	60.38,31.45	69.89,26.7	9.51,-4.75	0.248338755148576	no change
ENSG00000197451.12	ENSG00000197451	0.0240969578716232	0.238402631592644	Last_exon_tandem_APA	chr5	+	HNRNPAB	4	178211163,178210764,178210960,178210717	5341,73,63,61	93.5,1.28,1.1,1.07	92.86,1.54,1.15,1.02	92.58,1.66,1.61,1.33	-0.28,0.12,0.46,0.31	0.364476663714917	no change
ENSG00000185716.12	ENSG00000185716	0.277591036414566	0.000653428545394219	Mixed_APA	chr16	+	MOSMO	5	22084654,22076075,22087534,22083856,22079025	125,14,12,6,4	72.25,8.09,6.94,3.47,2.31	50,16.18,8.82,4.41,5.88	79.05,2.86,5.71,2.86,0	29.05,-13.32,-3.11,-1.55,-5.88	0.00454069766795566	longer
ENSG00000175216.15	ENSG00000175216	0.0404017284945252	0.486569727914519	Last_exon_tandem_APA	chr11	-	CKAP5	2	46743541,46743659	944,13	95.35,1.31	91.57,2.41	94.98,0.76	3.41,-1.65	0.563314162035605	no change
ENSG00000147255.19	ENSG00000147255	-0.143224699828473	0.173379423892729	Mixed_APA	chrX	-	IGSF1	3	131273505,131284165,131361172	135,112,15	49.45,41.03,5.49	44.55,43.64,3.18	41.51,30.19,15.09	-3.04,-13.45,11.91	0.2993605783866	no change
ENSG00000095397.17	ENSG00000095397	0.401601830663616	0.00566921919984573	Mixed_APA	chr9	-	WHRN	2	114402079,114478319	54,7	83.08,10.77	68.42,15.79	89.13,8.7	20.71,-7.09	0.0260958074574996	longer
ENSG00000137106.18	ENSG00000137106	0.0332320488620843	0.501424527891759	Last_exon_tandem_APA	chr9	+	GRHPR	3	37436990,37428775,37432815	1167,29,29	93.29,2.32,2.32	90.15,1.81,2.46	90.97,2.34,1.87	0.82,0.53,-0.59	0.57379442096871	no change
ENSG00000112304.11	ENSG00000112304	-0.0393562302969968	0.715195602463748	Last_exon_tandem_APA	chr6	+	ACOT13	3	24701714,24702840,24704360	517,19,9	92.82,3.41,1.62	91.71,3.66,1.71	91.84,2.72,0.68	0.13,-0.94,-1.03	0.735716189594338	no change
ENSG00000185808.14	ENSG00000185808	0.0863716369122454	0.423178551869068	Last_exon_tandem_APA	chr21	-	PIGP	5	37065375,37065458,37065504,37071288,37063700	211,30,11,6,4	76.45,10.87,3.99,2.17,1.45	64.63,8.54,4.88,4.88,1.22	65.46,11.86,3.61,1.03,1.55	0.83,3.32,-1.27,-3.85,0.33	0.517189011847009	no change
ENSG00000168385.18	ENSG00000168385	0.211636178861789	0	Last_exon_tandem_APA	chr2	+	SEPTIN2	2	241354027,241352551	2043,906	66.63,29.55	57.32,37.75	78.35,18.45	21.03,-19.3	0	longer
ENSG00000257103.9	ENSG00000257103	0.0807247858737122	0.0246184624415106	Last_exon_tandem_APA	chr19	+	LSM14A	3	34228096,34229288,34227618	703,513,22	54.92,40.08,1.72	55.97,36.77,1.52	49.77,43.9,1.64	-6.2,7.13,0.12	0.079777293306141	no change
ENSG00000100811.15	ENSG00000100811	0.0861016927218138	0.0191751448646519	Last_exon_tandem_APA	chr14	+	YY1	4	100278470,100278589,100282788,100238612	392,365,245,14	33.82,31.49,21.14,1.21	34.86,33.92,18.57,1.21	27.4,29.09,27.16,2.16	-7.46,-4.83,8.59,0.95	0.0664960033283246	no change
ENSG00000162065.14	ENSG00000162065	0.411494252873563	0.000262381297461828	Mixed_APA	chr16	+	TBC1D24	4	2505730,2502860,2503547,2485515	58,13,7,3	65.91,14.77,7.95,3.41	40,33.33,10,6.67	77.59,5.17,6.9,1.72	37.59,-28.16,-3.1,-4.95	0.00210630624073059	longer
ENSG00000116857.17	ENSG00000116857	-0.0246280234116072	0.705810427036639	Last_exon_tandem_APA	chr1	-	TMEM9	2	201134771,201135465	1026,141	86.58,11.9	86.09,9.61	84.05,12.21	-2.04,2.6	0.728178668265841	no change
ENSG00000101557.15	ENSG00000101557	0.15391906639825	1.05863006361062e-07	Last_exon_tandem_APA	chr18	+	USP14	5	212046,214621,211875,212853,212227	497,494,120,88,43	36.62,36.4,8.84,6.48,3.17	40.97,30.96,12.59,5.31,3.49	34.96,43.41,5.87,8.31,3.44	-6.01,12.45,-6.72,3,-0.05	1.99301505071799e-06	longer
ENSG00000162972.11	ENSG00000162972	0.152417027417027	0.0190090002835269	Mixed_APA	chr2	+	MAIP1	2	199964114,199963983	339,41	86.92,10.51	79.17,11.74	83.33,7.94	4.16,-3.8	0.0660981427942267	no change
ENSG00000112208.11	ENSG00000112208	0.0761324041811846	0.581400726767698	Last_exon_tandem_APA	chr6	+	BAG2	5	57184937,57185215,57184858,57184794,57186872	81,43,24,18,3	44.75,23.76,13.26,9.94,1.66	40.71,13.57,12.14,10.71,0.71	43.9,9.76,9.76,7.32,4.88	3.19,-3.81,-2.38,-3.39,4.17	0.630896556153686	no change
ENSG00000238045.9	ENSG00000238045	0.128647214854111	0.569549765334278	Mixed_APA	chr16	-	MVP-DT	7	29810167,29810304,29810381,29810240,29810680,29810739,29810863	11,5,5,4,4,4,3	20,9.09,9.09,7.27,7.27,7.27,5.45	10.34,10.34,0,3.45,6.9,10.34,6.9	7.69,3.85,7.69,3.85,3.85,3.85,3.85	-2.65,-6.49,7.69,0.4,-3.05,-6.49,-3.05	0.622540791721507	no change
ENSG00000132155.14	ENSG00000132155	0.0798398492699011	0.0956402284603269	Last_exon_tandem_APA	chr3	-	RAF1	2	12583607,12583701	699,15	94.72,2.03	93.75,2.56	94.04,1.55	0.29,-1.01	0.204558977606068	no change
ENSG00000066697.15	ENSG00000066697	0.0630053908355795	0.339283861287933	Last_exon_tandem_APA	chr9	+	MSANTD3	3	100451734,100451231,100456369	277,239,6	50.83,43.85,1.1	49.64,42.86,0	52.08,41.89,2.26	2.44,-0.97,2.26	0.453672432054994	no change
ENSG00000082146.13	ENSG00000082146	-0.0238912187063159	0.878164941755641	Last_exon_tandem_APA	chr2	+	STRADB	3	201480846,201480722,201480276	332,133,7	68.6,27.48,1.45	69.77,26.58,1.66	66.67,28.96,1.09	-3.1,2.38,-0.57	0.880807658365917	no change
ENSG00000102786.15	ENSG00000102786	0.0821908464634063	0.469526609703554	Mixed_APA	chr13	-	INTS6	11	51365226,51362663,51450224,51365502,51365692,51448587,51353170,51365323,51448912,51361630,51447018	95,47,29,20,11,6,4,4,4,3,3	36.26,17.94,11.07,7.63,4.2,2.29,1.53,1.53,1.53,1.15,1.15	33.7,19.34,9.94,6.63,3.87,2.21,0.55,1.66,1.1,0.55,1.1	39.51,11.11,11.11,8.64,4.94,2.47,3.7,1.23,2.47,2.47,0	5.81,-8.23,1.17,2.01,1.07,0.26,3.15,-0.43,1.37,1.92,-1.1	0.550576611728991	no change
ENSG00000086065.14	ENSG00000086065	0.0604997341839447	0.229907333238791	Last_exon_tandem_APA	chr9	+	CHMP5	2	33281513,33281169	557,256	66.07,30.37	63.64,28.48	67.25,27.68	3.61,-0.8	0.356959298104879	no change
ENSG00000139719.11	ENSG00000139719	0.118876941457587	0.0188673269967319	Last_exon_tandem_APA	chr12	-	VPS33A	6	122231546,122229565,122232094,122250819,122261024,122229765	305,138,79,16,7,6	53.32,24.13,13.81,2.8,1.22,1.05	57.41,19.75,14.51,2.78,1.23,0.62	44.35,29.84,11.29,2.82,1.21,1.61	-13.06,10.09,-3.22,0.04,-0.02,0.99	0.0657579688782301	no change
ENSG00000110921.14	ENSG00000110921	0.0831423895253682	0.322603787841469	Last_exon_tandem_APA	chr12	+	MVK	4	109597263,109597165,109598119,109587107	308,8,7,5	91.67,2.38,2.08,1.49	90.07,2.84,2.84,0	92.31,1.03,1.54,2.56	2.24,-1.81,-1.3,2.56	0.439998709728005	no change
ENSG00000162063.13	ENSG00000162063	0.170310566326831	0.0417745499140099	Last_exon_tandem_APA	chr16	+	CCNF	4	2458854,2457688,2457796,2458913	252,26,16,4	81.29,8.39,5.16,1.29	77.82,10.88,5.86,1.26	88.73,0,2.82,1.41	10.91,-10.88,-3.04,0.15	0.116095171697761	no change
ENSG00000082516.9	ENSG00000082516	0.0845125786163522	0.38910473801512	Last_exon_tandem_APA	chr5	-	GEMIN5	4	154887568,154887475,154887410,154887333	193,73,23,4	62.66,23.7,7.47,1.3	61.79,20.75,7.08,1.89	62.5,22.92,8.33,0	0.71,2.17,1.25,-1.89	0.491966314220543	no change
ENSG00000165304.8	ENSG00000165304	-0.0455357142857143	0.720465936059109	Last_exon_tandem_APA	chr9	+	MELK	3	36677682,36677749,36682131	404,7,7	95.06,1.65,1.65	94.69,0.94,1.56	90.48,3.81,1.9	-4.21,2.87,0.34	0.740122483857982	no change
ENSG00000113621.15	ENSG00000113621	0.233495670995671	9.21725655245176e-07	Last_exon_tandem_APA	chr5	+	TXNDC15	5	134901511,134899885,134899818,134901262,134901635	179,133,104,102,38	28.06,20.85,16.3,15.99,5.96	19.32,27.84,23.3,11.36,5.11	32.47,18.4,13.2,16.88,6.93	13.15,-9.44,-10.1,5.52,1.82	1.42274599855083e-05	longer
ENSG00000189184.12	ENSG00000189184	0.161577608142494	0.0454595518019539	Last_exon_tandem_APA	chr4	-	PCDH18	6	137519702,137520872,137518917,137520544,137519914,137520812	180,32,8,4,3,3	75.31,13.39,3.35,1.67,1.26,1.26	70.23,15.27,3.82,2.29,1.53,1.53	81.48,10.19,2.78,0.93,0.93,0.93	11.25,-5.08,-1.04,-1.36,-0.6,-0.6	0.123319517589034	no change
ENSG00000184924.6	ENSG00000184924	0.10142847908991	0.0692178756781138	Last_exon_tandem_APA	chr2	-	PTRHD1	4	24790266,24789798,24789969,24789729	525,24,23,18	88.09,4.03,3.86,3.02	87.16,3.46,3.21,1.98	82.72,4.19,4.19,5.24	-4.44,0.73,0.98,3.26	0.164438137071633	no change
ENSG00000233098.10	ENSG00000233098	0.229147286821705	0.000131547891886963	Mixed_APA	chr17	+	CCDC144NL-AS1	9	20930041,20903413,20904726,20958697,20999729,20939521,20905226,20893304,20999605	253,34,31,7,7,7,6,5,5	66.75,8.97,8.18,1.85,1.85,1.85,1.58,1.32,1.32	57.36,13.95,12.4,0.78,0,0.78,2.33,1.55,0.78	68.4,6.4,5.6,2.4,2.4,2.4,1.2,1.2,1.6	11.04,-7.55,-6.8,1.62,2.4,1.62,-1.13,-0.35,0.82	0.00116860758054371	longer
ENSG00000082068.9	ENSG00000082068	0.0723892837616184	0.495519022087639	Last_exon_tandem_APA	chr5	+	WDR70	2	37752672,37393607	254,9	93.04,3.3	89.03,3.87	89.83,2.54	0.8,-1.33	0.569584996282783	no change
ENSG00000140612.14	ENSG00000140612	-0.047088086130857	0.0434672704747709	Last_exon_tandem_APA	chr15	-	SEC11A	2	84669543,84669728	1565,1361	52.57,45.72	50.14,42.12	48.79,46.89	-1.35,4.77	0.119093571366496	no change
ENSG00000140319.11	ENSG00000140319	0.0365338424130271	0.0100250218028181	Last_exon_tandem_APA	chr15	-	SRP14	2	40036040,40035739	6314,474	91.51,6.87	88.22,8.14	90.43,5.81	2.21,-2.33	0.0407660059663623	no change
ENSG00000107020.10	ENSG00000107020	0.114705882352941	0.124678110648575	Last_exon_tandem_APA	chr9	-	PLGRKT	2	5357970,5358067	285,25	89.62,7.86	85.88,10	93.92,4.73	8.04,-5.27	0.243273702889534	no change
ENSG00000090447.12	ENSG00000090447	0.127465127465128	0.188569294775268	Last_exon_tandem_APA	chr16	-	TFAP4	2	4257185,4257954	215,3	96.85,1.35	89.95,1.59	93.94,0	3.99,-1.59	0.315532741480595	no change
ENSG00000179010.16	ENSG00000179010	0.0356036866924629	0.098989535998906	Last_exon_tandem_APA	chr4	+	MRFAP1	2	6642729,6642362	3587,60	95.55,1.6	90.55,1.73	91.43,1.54	0.88,-0.19	0.208913422714389	no change
ENSG00000170471.15	ENSG00000170471	0.162999220306679	0.0198555445723161	Last_exon_tandem_APA	chr20	+	RALGAPB	7	38578858,38578695,38575819,38575070,38575578,38575706,38578080	114,91,44,23,14,6,6	36.42,29.07,14.06,7.35,4.47,1.92,1.92	36.13,21.01,18.49,7.56,6.72,4.2,1.68	36.08,34.02,10.82,6.7,3.09,0.52,2.06	-0.05,13.01,-7.67,-0.86,-3.63,-3.68,0.38	0.0684073681494152	no change
ENSG00000114125.14	ENSG00000114125	0.0339589333828858	0.343008808637653	Last_exon_tandem_APA	chr3	+	RNF7	3	141745702,141745835,141746401	1667,53,48	89.82,2.86,2.59	85.92,2.95,2.29	87.13,2.77,2.77	1.21,-0.18,0.48	0.456550254242011	no change
ENSG00000108829.10	ENSG00000108829	0.110035157287983	9.50176664793467e-05	Mixed_APA	chr17	-	LRRC59	2	50381237,50382672	1123,402	73.16,26.19	66.38,24.51	74.41,18.26	8.03,-6.25	0.000881995670620241	longer
ENSG00000116809.12	ENSG00000116809	0.0482354754199414	0.534517890584819	Last_exon_tandem_APA	chr1	-	ZBTB17	2	15941868,15940402	160,4	96.39,2.41	92.06,3.17	96.12,1.94	4.06,-1.23	0.596715853786476	no change
ENSG00000138468.16	ENSG00000138468	0.213911290322581	0.0344538270894815	Mixed_APA	chr3	-	SENP7	4	101324272,101324204,101371854,101370577	164,7,5,3	85.86,3.66,2.62,1.57	80.65,0,3.23,0	86.88,4.38,2.5,1.88	6.23,4.38,-0.73,1.88	0.100894887724778	no change
ENSG00000188706.13	ENSG00000188706	0.142169267636589	3.68195968607488e-05	Last_exon_tandem_APA	chrX	-	ZDHHC9	4	129804935,129803293,129805491,129803338	944,227,76,67	66.67,16.03,5.37,4.73	75.68,7.29,6.08,3.34	64.4,17.48,5.7,5.89	-11.28,10.19,-0.38,2.55	0.000383939226129639	longer
ENSG00000174721.10	ENSG00000174721	0.0545873481357353	0.0214826059282643	Last_exon_tandem_APA	chr10	-	FGFBP3	5	91906903,91907754,91906587,91906761,91906965	1506,552,373,54,42	54.94,20.14,13.61,1.97,1.53	53.61,21.52,13.26,2.58,2.23	57.53,18.44,14.58,2.32,1.93	3.92,-3.08,1.32,-0.26,-0.3	0.0724143736570168	no change
ENSG00000221838.10	ENSG00000221838	0.0921052631578947	0.408410087225925	Mixed_APA	chr7	+	AP4M1	4	100107144,100109898,100107986,100110310	130,13,4,3	85.53,8.55,2.63,1.97	51.32,9.21,2.63,1.32	61.84,7.89,2.63,2.63	10.52,-1.32,0,1.31	0.506725820342768	no change
ENSG00000141127.15	ENSG00000141127	0.134843057494991	0.00348395863851758	Last_exon_tandem_APA	chr17	+	PRPSAP2	2	18931268,18931067	615,10	96.85,1.57	41.03,2.93	54.42,0.55	13.39,-2.38	0.0176234647487463	longer
ENSG00000160714.10	ENSG00000160714	0.120133415501714	0.00208544228658458	Last_exon_tandem_APA	chr1	-	UBE2Q1	2	154549982,154548576	629,226	72.72,26.13	78.55,18.09	66.11,26.78	-12.44,8.69	0.0116782172600962	longer
ENSG00000013016.16	ENSG00000013016	0.158201273195178	0.0513056289551351	Last_exon_tandem_APA	chr2	+	EHD3	6	31268394,31269447,31268322,31261232,31267376,31268289	143,12,5,4,3,3	81.25,6.82,2.84,2.27,1.7,1.7	76.81,7.25,1.45,4.35,2.9,1.45	84.11,6.54,3.74,0.93,0.93,1.87	7.3,-0.71,2.29,-3.42,-1.97,0.42	0.134020132065968	no change
ENSG00000143753.13	ENSG00000143753	0.0390248716936439	0.491113547557505	Last_exon_tandem_APA	chr1	+	DEGS1	4	224193441,224193160,224193091,224201985	548,420,43,11	50.51,38.71,3.96,1.01	47.94,41.76,4.41,0.88	51.28,37.72,4.56,1.48	3.34,-4.04,0.15,0.6	0.566606514675639	no change
ENSG00000117697.15	ENSG00000117697	0.153769841269841	0.0131213617554816	Mixed_APA	chr1	-	NSL1	9	212737756,212737618,212736965,212726152,212738133,212737167,212738191,212784300,212734416	322,42,31,13,12,9,7,6,5	69.7,9.09,6.71,2.81,2.6,1.95,1.52,1.3,1.08	69.94,8.63,5.65,2.08,2.08,1.19,1.79,1.19,0.6	58.73,10.32,7.94,4.76,3.17,3.97,0.79,1.59,0.79	-11.21,1.69,2.29,2.68,1.09,2.78,-1,0.4,0.19	0.0499066502272101	longer
ENSG00000176890.16	ENSG00000176890	0.0692691293020106	0.0290868962196247	Last_exon_tandem_APA	chr18	+	TYMS	3	673493,673578,673200	1342,104,19	90.07,6.98,1.28	89.16,6.82,1.1	89.84,7.17,1.2	0.68,0.35,0.1	0.0896414311919187	no change
ENSG00000038274.18	ENSG00000038274	0.110966810966811	0.0411703662563071	Last_exon_tandem_APA	chr5	+	MAT2B	2	163519322,163519151	339,284	52.8,44.24	51.08,44.81	54.44,41.67	3.36,-3.14	0.115042068906888	no change
ENSG00000189339.12	ENSG00000189339	0.174567896334808	0.0015343687510101	Mixed_APA	chr1	-	SLC35E2B	4	1661477,1664287,1662607,1662289	398,32,19,6	83.97,6.75,4.01,1.27	72.05,14.91,5.59,1.24	87.54,2.56,3.19,1.28	15.49,-12.35,-2.4,0.04	0.00914422807307275	longer
ENSG00000116560.12	ENSG00000116560	0.186487747142781	0	Mixed_APA	chr1	-	SFPQ	5	35183599,35184119,35176379,35182935,35183751	1989,1679,800,113,96	40.47,34.16,16.28,2.3,1.95	45.87,35.33,9.13,2.93,2.62	33.91,32.32,27.25,1.84,1.69	-11.96,-3.01,18.12,-1.09,-0.93	0	longer
ENSG00000087460.29	ENSG00000087460	0.0295110552443762	0.00105697202096144	Last_exon_tandem_APA	chr20	+	GNAS	2	58911189,58900410	18550,266	97.44,1.4	95.28,0.4	94.96,1.93	-0.32,1.53	0.00672204326263748	no change
ENSG00000175470.20	ENSG00000175470	0.164196359755736	0.00723047457442316	Last_exon_tandem_APA	chr10	+	PPP2R2D	5	131956550,131956242,131959834,131940757,131912082	269,50,19,11,4	72.9,13.55,5.15,2.98,1.08	67.66,17.37,0.6,3.59,2.4	73.76,10.4,8.91,2.48,0	6.1,-6.97,8.31,-1.11,-2.4	0.0318799807423979	longer
ENSG00000136144.12	ENSG00000136144	-0.0991268618387262	0.176523924323772	Mixed_APA	chr13	-	RCBTB1	2	49531949,49540407	338,7	95.75,1.98	93.79,2.82	96.02,1.14	2.23,-1.68	0.30304059423686	no change
ENSG00000198015.14	ENSG00000198015	0.168192980911288	6.23861674220461e-06	Last_exon_tandem_APA	chr12	+	MRPL42	10	93502650,93501326,93502504,93501380,93503770,93512930,93501790,93501540,93502454,93511090	308,169,74,55,38,36,30,26,22,10	31.92,17.51,7.67,5.7,3.94,3.73,3.11,2.69,2.28,1.04	36.87,20.43,9.22,9.37,3.53,2.46,3.23,3.53,3.84,0.46	26.43,20.06,7.64,6.05,9.24,7.96,4.78,1.91,3.5,2.87	-10.44,-0.37,-1.58,-3.32,5.71,5.5,1.55,-1.62,-0.34,2.41	8.00874637134084e-05	longer
ENSG00000206053.13	ENSG00000206053	0.151058201058201	1.93302967077535e-07	Mixed_APA	chr16	+	JPT2	5	1701427,1702063,1699584,1699878,1700035	681,436,122,52,47	46.23,29.6,8.28,3.53,3.19	49.1,23.28,11.85,3.7,4.66	42.61,36.74,4.36,3.98,3.41	-6.49,13.46,-7.49,0.28,-1.25	3.45145516018004e-06	longer
ENSG00000119725.21	ENSG00000119725	0.113951310861423	0.155445565661519	Last_exon_tandem_APA	chr14	+	ZNF410	2	73932278,73932094	244,47	81.88,15.77	83.33,11.67	80.34,14.04	-2.99,2.37	0.279101086470074	no change
ENSG00000089053.13	ENSG00000089053	-0.0401237376034938	0.501613273569885	Last_exon_tandem_APA	chr12	-	ANAPC5	2	121308356,121308244	845,17	96.9,1.95	95.13,2.43	96.04,1.32	0.91,-1.11	0.573933173352683	no change
ENSG00000163041.13	ENSG00000163041	0.07657791817858	4.53154291868429e-10	Last_exon_tandem_APA	chr1	+	H3-3A	2	226072002,226071846	5781,1479	77.57,19.84	73.84,17.18	81.31,13.06	7.47,-4.12	1.45122258808683e-08	no change
ENSG00000124299.16	ENSG00000124299	0.14109242177609	0.000101919039164899	Last_exon_tandem_APA	chr19	-	PEPD	2	33386949,33387091	898,41	93.74,4.28	89.82,3.86	92.78,2.58	2.96,-1.28	0.000940686598405056	longer
ENSG00000231312.8	ENSG00000231312	0.274725274725275	0.0335923029124428	Mixed_APA	chr2	+	MAP4K3-DT	7	39475134,39474878,39600153,39602644,39603200,39600057,39474953	29,6,6,6,6,5,3	39.19,8.11,8.11,8.11,8.11,6.76,4.05	43.59,7.69,7.69,5.13,0,7.69,7.69	31.43,8.57,8.57,11.43,17.14,2.86,0	-12.16,0.88,0.88,6.3,17.14,-4.83,-7.69	0.099178849707701	no change
ENSG00000111144.10	ENSG00000111144	0.0323619112165367	0.614845901099645	Last_exon_tandem_APA	chr12	-	LTA4H	2	96000829,96000752	1179,34	96.64,2.79	80.18,2.97	82.37,2.24	2.19,-0.73	0.655180374659053	no change
ENSG00000103415.12	ENSG00000103415	-0.0806333650259636	0.159436563733073	Last_exon_tandem_APA	chr16	+	HMOX2	2	4509902,4510347	492,83	84.68,14.29	80.17,15.29	86.14,12.98	5.97,-2.31	0.283551311666783	no change
ENSG00000159479.17	ENSG00000159479	0.197004233148811	0.0117101762026361	Last_exon_tandem_APA	chr1	-	MED8	3	43383916,43384725,43384924	145,98,19	54.1,36.57,7.09	40.96,45.78,7.23	60,28.11,7.03	19.04,-17.67,-0.2	0.0457576533423894	longer
ENSG00000118564.15	ENSG00000118564	0.0752513394738426	0.0484999129236977	Last_exon_tandem_APA	chr4	-	FBXL5	3	15667563,15605005,15604529	623,379,68	55.67,33.87,6.08	51.7,35.37,2.72	50.15,32.89,7.96	-1.55,-2.48,5.24	0.129165645575719	no change
ENSG00000168538.16	ENSG00000168538	0.13812045330826	0.0687661987049633	Last_exon_tandem_APA	chr4	+	TRAPPC11	3	183713589,183712866,183709047	254,19,3	88.19,6.6,1.04	82.64,10.74,0	88.62,3.59,1.8	5.98,-7.15,1.8	0.163971124045036	no change
ENSG00000072401.15	ENSG00000072401	0.0594798643705423	0.223433807237465	Last_exon_tandem_APA	chr10	+	UBE2D1	3	58369596,58370748,58369637	637,170,13	75.12,20.05,1.53	73.68,19.91,1.37	72.99,19.71,1.7	-0.69,-0.2,0.33	0.350598226910192	no change
ENSG00000007392.17	ENSG00000007392	0.0513339331289132	0.252913690012618	Mixed_APA	chr16	-	LUC7L	3	188989,189097,189522	791,140,94	75.77,13.41,9	67.29,10.84,7.85	67.98,8.25,10.02	0.69,-2.59,2.17	0.377817114280138	no change
ENSG00000197989.15	ENSG00000197989	0.0683333333333333	0.449115048880074	Mixed_APA	chr1	-	SNHG12	2	28578537,28580379	334,8	95.43,2.29	93.33,2.67	95.5,2	2.17,-0.67	0.535441847914659	no change
ENSG00000012963.15	ENSG00000012963	0.0897673679190292	0.212727187175288	Last_exon_tandem_APA	chr14	+	UBR7	3	93229215,93227113,93228424	331,48,6	84.22,12.21,1.53	80.53,15.04,1.77	89.22,8.38,1.2	8.69,-6.66,-0.57	0.339721731568841	no change
ENSG00000176022.7	ENSG00000176022	0.198829431438127	1.26181357118504e-06	Last_exon_tandem_APA	chr1	+	B3GALT6	3	1235041,1234180,1233729	273,245,188	37.35,33.52,25.72	25.36,36.59,28.99	42.2,31.21,19.78	16.84,-5.38,-9.21	1.89566950368852e-05	longer
ENSG00000188352.13	ENSG00000188352	-0.130569194398982	0.0285970308745119	Last_exon_tandem_APA	chr9	+	FOCAD	3	20995950,20673910,20875818	380,16,6	90.05,3.79,1.42	87.23,6.38,2.13	90.6,1.71,0.85	3.37,-4.67,-1.28	0.0884042187700903	no change
ENSG00000099622.14	ENSG00000099622	0.123652474952427	6.52525995126219e-07	Mixed_APA	chr19	+	CIRBP	3	1273172,1274810,1272548	1422,382,20	75.92,20.4,1.07	75.46,14.29,1.73	67.16,25.87,1	-8.3,11.58,-0.73	1.04313121602825e-05	longer
ENSG00000116350.18	ENSG00000116350	0.0713984289976531	0.160986268747719	Last_exon_tandem_APA	chr1	-	SRSF4	3	29147742,29147833,29147885	695,32,13	92.18,4.24,1.72	88.72,5.42,1.95	91.81,2.39,1.37	3.09,-3.03,-0.58	0.285348716261714	no change
ENSG00000049245.13	ENSG00000049245	0.0365073661516349	0.730274629892673	Last_exon_tandem_APA	chr1	+	VAMP3	6	7781432,7779783,7780293,7780442,7780260,7781114	396,22,18,12,5,5	83.9,4.66,3.81,2.54,1.06,1.06	79.57,6.52,3.48,3.04,0.87,0.43	80.99,2.89,4.13,2.07,1.24,1.65	1.42,-3.63,0.65,-0.97,0.37,1.22	0.748575167377168	no change
ENSG00000203875.13	ENSG00000203875	0.0424848860382161	0.0494095512796362	Mixed_APA	chr6	-	SNHG5	2	85677083,85677006	4611,345	91.91,6.88	91.92,6.69	89.95,7.58	-1.97,0.89	0.131000613234105	no change
ENSG00000146409.12	ENSG00000146409	0.0699514226231783	0.433696648914682	Last_exon_tandem_APA	chr6	-	SLC18B1	2	132769375,132769408	177,4	95.16,2.15	94.66,3.05	96.36,0	1.7,-3.05	0.525139416520886	no change
ENSG00000080608.10	ENSG00000080608	-0.0474314528837062	0.615703893536588	Mixed_APA	chr9	-	PUM3	2	2804162,2777353	437,11	92.78,2.34	91.78,2.63	90.42,1.8	-1.36,-0.83	0.655628841312952	no change
