gene_id	chrom	strand	gene_name	PAS	~/Desktop/KSAPA/WT_D0_dRNA.no_sec.isoquant/OUT/	~/Desktop/KSAPA/WT_D7_dRNA_4.isoquant/
ENSG00000106992.19	chr9	-	AK1	127867840	86.16	83.95
ENSG00000106992.19	chr9	-	AK1	127866485	13.21	13.16
ENSG00000106993.12	chr9	+	CDC37L1	4706594	57.32	37.93
ENSG00000106993.12	chr9	+	CDC37L1	4706537	18.47	16.55
ENSG00000106993.12	chr9	+	CDC37L1	4708399	5.73	26.9
ENSG00000106993.12	chr9	+	CDC37L1	4707664	10.19	13.79
ENSG00000107014.9	chr9	-	RLN2	5299863	78.57	66.67
ENSG00000107014.9	chr9	-	RLN2	5300120	10.71	33.33
ENSG00000107014.9	chr9	-	RLN2	5299772	10.71	0
ENSG00000107020.10	chr9	-	PLGRKT	5357970	85.88	93.92
ENSG00000107020.10	chr9	-	PLGRKT	5358067	10	4.73
ENSG00000107021.16	chr9	+	TBC1D13	128810426	96.6	95.24
ENSG00000107036.12	chr9	+	RIC1	5776557	38.36	41.33
ENSG00000107036.12	chr9	+	RIC1	5776061	16.44	20
ENSG00000107036.12	chr9	+	RIC1	5776485	10.96	6
ENSG00000107036.12	chr9	+	RIC1	5775241	8.22	6.67
ENSG00000107036.12	chr9	+	RIC1	5712690	6.85	4
ENSG00000107036.12	chr9	+	RIC1	5769454	6.85	3.33
ENSG00000107036.12	chr9	+	RIC1	5631059	1.37	2
ENSG00000107036.12	chr9	+	RIC1	5778012	1.37	2
ENSG00000107036.12	chr9	+	RIC1	5778250	2.74	1.33
ENSG00000107036.12	chr9	+	RIC1	5776441	0	2
ENSG00000107077.19	chr9	+	KDM4C	7175648	77.27	88.41
ENSG00000107077.19	chr9	+	KDM4C	7077263	3.03	1.45
ENSG00000107104.21	chr9	+	KANK1	746103	81.32	58.54
ENSG00000107104.21	chr9	+	KANK1	549527	8.79	9.76
ENSG00000107104.21	chr9	+	KANK1	475510	1.1	17.07
ENSG00000107104.21	chr9	+	KANK1	474517	1.1	2.44
ENSG00000107105.15	chr9	-	ELAVL2	23690103	90.91	92.15
ENSG00000107105.15	chr9	-	ELAVL2	23690186	1.52	4.08
ENSG00000107130.10	chr9	+	NCS1	130236627	43.35	45.2
ENSG00000107130.10	chr9	+	NCS1	130237303	12.32	32.04
ENSG00000107130.10	chr9	+	NCS1	130233649	12.32	7.89
ENSG00000107130.10	chr9	+	NCS1	130233813	8.37	3.72
ENSG00000107130.10	chr9	+	NCS1	130233579	12.81	2.32
ENSG00000107130.10	chr9	+	NCS1	130234244	2.46	1.86
ENSG00000107140.16	chr9	+	TESK1	35610033	86.96	94.12
ENSG00000107164.17	chr9	+	FUBP3	130638352	90.14	91.67
ENSG00000107164.17	chr9	+	FUBP3	130638243	3.12	0.72
ENSG00000107164.17	chr9	+	FUBP3	130581724	0.96	2.17
ENSG00000107164.17	chr9	+	FUBP3	130637989	1.92	0.72
ENSG00000107175.12	chr9	+	CREB3	35736860	71.51	70.43
ENSG00000107175.12	chr9	+	CREB3	35736999	17.88	15.81
ENSG00000107175.12	chr9	+	CREB3	35738888	2.23	2.46
ENSG00000107185.10	chr9	+	RGP1	35757937	54.55	64.62
ENSG00000107185.10	chr9	+	RGP1	35755221	6.06	6.15
ENSG00000107185.10	chr9	+	RGP1	35753039	10.61	0
ENSG00000107185.10	chr9	+	RGP1	35753590	3.03	4.62
ENSG00000107185.10	chr9	+	RGP1	35758221	4.55	4.62
ENSG00000107185.10	chr9	+	RGP1	35760557	0	4.62
ENSG00000107186.17	chr9	-	MPDZ	13105706	87.4	82.86
ENSG00000107186.17	chr9	-	MPDZ	13105295	4.72	5
ENSG00000107186.17	chr9	-	MPDZ	13120100	0.79	1.43
ENSG00000107201.11	chr9	-	RIGI	32455304	50	53.33
ENSG00000107201.11	chr9	-	RIGI	32455704	14.29	33.33
ENSG00000107201.11	chr9	-	RIGI	32457002	21.43	6.67
ENSG00000107223.13	chr9	-	EDF1	136862118	98.04	97.91
ENSG00000107242.20	chr9	+	PIP5K1B	69009176	80.43	71.43
ENSG00000107262.26	chr9	-	BAG1	33255024	86.79	90.98
ENSG00000107262.26	chr9	-	BAG1	33252470	2.28	1.46
ENSG00000107263.19	chr9	-	RAPGEF1	131576774	91.61	94.2
ENSG00000107281.10	chr9	-	NPDC1	137039469	95.6	93.64
ENSG00000107281.10	chr9	-	NPDC1	137037578	1.65	3.57
ENSG00000107290.14	chr9	-	SETX	132261439	48.57	64.77
ENSG00000107290.14	chr9	-	SETX	132263892	22.29	12.44
ENSG00000107290.14	chr9	-	SETX	132261490	5.71	8.81
ENSG00000107290.14	chr9	-	SETX	132262714	8	3.63
ENSG00000107290.14	chr9	-	SETX	132261693	4	3.11
ENSG00000107290.14	chr9	-	SETX	132261623	2.29	0.52
ENSG00000107290.14	chr9	-	SETX	132261565	0.57	2.07
ENSG00000107295.10	chr9	+	SH3GL2	17797121	85.71	95.12
ENSG00000107331.18	chr9	-	ABCA2	137007233	100	97.92
ENSG00000107338.10	chr9	-	SHB	37919549	67.74	60.26
ENSG00000107338.10	chr9	-	SHB	37919133	29.03	25.64
ENSG00000107338.10	chr9	-	SHB	37915898	3.23	10.26
ENSG00000107341.5	chr9	+	UBE2R2	33917987	75.41	68.65
ENSG00000107341.5	chr9	+	UBE2R2	33920404	16.58	23.92
ENSG00000107341.5	chr9	+	UBE2R2	33917717	1.22	1.62
ENSG00000107362.14	chr9	-	ABHD17B	71865151	64.86	71.01
ENSG00000107362.14	chr9	-	ABHD17B	71865366	16.22	10.92
ENSG00000107362.14	chr9	-	ABHD17B	71865427	9.31	7.98
ENSG00000107362.14	chr9	-	ABHD17B	71865303	3	2.1
ENSG00000107371.14	chr9	-	EXOSC3	37780457	89.31	84.62
ENSG00000107371.14	chr9	-	EXOSC3	37779391	2.25	3.08
ENSG00000107371.14	chr9	-	EXOSC3	37779961	0.94	2.05
ENSG00000107371.14	chr9	-	EXOSC3	37780098	1.13	1.03
ENSG00000107372.13	chr9	-	ZFAND5	72354457	81.36	82.86
ENSG00000107372.13	chr9	-	ZFAND5	72355871	3.26	2.74
ENSG00000107372.13	chr9	-	ZFAND5	72351408	2.04	1.27
ENSG00000107372.13	chr9	-	ZFAND5	72355638	2.34	1.76
ENSG00000107372.13	chr9	-	ZFAND5	72354722	2.55	0.98
ENSG00000107404.21	chr1	-	DVL1	1335277	79.07	88.06
ENSG00000107438.9	chr10	-	PDLIM1	95237571	93.21	93.46
ENSG00000107438.9	chr10	-	PDLIM1	95237712	5.1	3.92
ENSG00000107443.16	chr10	+	CCNJ	96060870	85.11	85.19
ENSG00000107443.16	chr10	+	CCNJ	96060754	8.51	10.49
ENSG00000107443.16	chr10	+	CCNJ	96058785	2.13	0
ENSG00000107518.18	chr10	+	ATRNL1	115948985	3.57	28.5
ENSG00000107518.18	chr10	+	ATRNL1	115171369	64.29	15.46
ENSG00000107518.18	chr10	+	ATRNL1	115946571	7.14	17.87
ENSG00000107518.18	chr10	+	ATRNL1	115946779	0	18.84
ENSG00000107518.18	chr10	+	ATRNL1	115946686	0	3.38
ENSG00000107518.18	chr10	+	ATRNL1	115167736	0	2.42
ENSG00000107518.18	chr10	+	ATRNL1	115174547	3.57	1.45
ENSG00000107518.18	chr10	+	ATRNL1	115173695	0	0.97
ENSG00000107518.18	chr10	+	ATRNL1	115849221	0	1.45
ENSG00000107521.21	chr10	-	HPS1	98417020	31.22	53.26
ENSG00000107521.21	chr10	-	HPS1	98441903	18.57	11.96
ENSG00000107521.21	chr10	-	HPS1	98429257	15.19	14.13
ENSG00000107521.21	chr10	-	HPS1	98429143	12.24	1.09
ENSG00000107521.21	chr10	-	HPS1	98442021	8.86	1.09
ENSG00000107521.21	chr10	-	HPS1	98442355	5.06	3.26
ENSG00000107521.21	chr10	-	HPS1	98416211	3.38	5.43
ENSG00000107521.21	chr10	-	HPS1	98429308	1.69	2.17
ENSG00000107537.14	chr10	-	PHYH	13277798	67.59	73.1
ENSG00000107537.14	chr10	-	PHYH	13278036	26.85	23.45
ENSG00000107537.14	chr10	-	PHYH	13276903	1.85	1.38
ENSG00000107551.21	chr10	+	RASSF4	44994713	77.27	88.52
ENSG00000107551.21	chr10	+	RASSF4	44996174	4.55	4.92
ENSG00000107554.17	chr10	-	DNMBP	99875576	87.62	94.52
ENSG00000107554.17	chr10	-	DNMBP	99906951	3.81	0
ENSG00000107560.12	chr10	-	RAB11FIP2	118004915	86.67	90.32
ENSG00000107560.12	chr10	-	RAB11FIP2	118004816	5	2.42
ENSG00000107560.12	chr10	-	RAB11FIP2	118005869	5	2.42
ENSG00000107562.17	chr10	-	CXCL12	44377128	41.12	50
ENSG00000107562.17	chr10	-	CXCL12	44370164	30.47	33.33
ENSG00000107562.17	chr10	-	CXCL12	44377070	17.16	16.67
ENSG00000107562.17	chr10	-	CXCL12	44372553	5.62	0
ENSG00000107562.17	chr10	-	CXCL12	44370249	2.07	0
ENSG00000107566.14	chr10	-	ERLIN1	100150093	82.72	83.61
ENSG00000107566.14	chr10	-	ERLIN1	100150437	8.64	9.02
ENSG00000107566.14	chr10	-	ERLIN1	100151807	1.85	4.92
ENSG00000107581.13	chr10	-	EIF3A	119035044	75.72	72.21
ENSG00000107581.13	chr10	-	EIF3A	119033669	12	14.03
ENSG00000107581.13	chr10	-	EIF3A	119035747	8.49	8.18
ENSG00000107614.22	chr10	-	TRDMT1	17146751	34.34	28.33
ENSG00000107614.22	chr10	-	TRDMT1	17148873	16.16	10
ENSG00000107614.22	chr10	-	TRDMT1	17142982	5.05	20
ENSG00000107614.22	chr10	-	TRDMT1	17150724	8.08	5
ENSG00000107614.22	chr10	-	TRDMT1	17148641	7.07	3.33
ENSG00000107614.22	chr10	-	TRDMT1	17137335	4.04	6.67
ENSG00000107614.22	chr10	-	TRDMT1	17140455	2.02	5
ENSG00000107614.22	chr10	-	TRDMT1	17147140	4.04	1.67
ENSG00000107614.22	chr10	-	TRDMT1	17140667	2.02	3.33
ENSG00000107614.22	chr10	-	TRDMT1	17148736	2.02	1.67
ENSG00000107625.14	chr10	+	DDX50	68946847	90.28	92.49
ENSG00000107643.17	chr10	+	MAPK8	48439352	32.35	42.02
ENSG00000107643.17	chr10	+	MAPK8	48435878	34.31	26.86
ENSG00000107643.17	chr10	+	MAPK8	48436412	20.59	19.59
ENSG00000107643.17	chr10	+	MAPK8	48438945	1.47	2.21
ENSG00000107643.17	chr10	+	MAPK8	48436733	0.49	1.74
ENSG00000107651.15	chr10	+	SEC23IP	119941736	50.57	54.85
ENSG00000107651.15	chr10	+	SEC23IP	119942146	23.95	21.94
ENSG00000107651.15	chr10	+	SEC23IP	119940969	7.22	8.44
ENSG00000107651.15	chr10	+	SEC23IP	119904659	6.08	5.91
ENSG00000107651.15	chr10	+	SEC23IP	119944657	0.76	2.11
ENSG00000107651.15	chr10	+	SEC23IP	119905261	1.52	0.42
ENSG00000107669.19	chr10	-	ATE1	121740423	67.18	84
ENSG00000107669.19	chr10	-	ATE1	121743109	6.11	4
ENSG00000107669.19	chr10	-	ATE1	121888995	6.11	2.67
ENSG00000107669.19	chr10	-	ATE1	121920059	3.05	0.67
ENSG00000107669.19	chr10	-	ATE1	121740647	2.29	0.67
ENSG00000107669.19	chr10	-	ATE1	121742836	2.29	0.67
ENSG00000107669.19	chr10	-	ATE1	121742959	0.76	1.33
ENSG00000107672.15	chr10	-	NSMCE4A	121957090	78.1	76.89
ENSG00000107672.15	chr10	-	NSMCE4A	121967660	3.17	6.13
ENSG00000107672.15	chr10	-	NSMCE4A	121966357	1.06	1.89
ENSG00000107679.15	chr10	+	PLEKHA1	122432345	80.42	83.65
ENSG00000107679.15	chr10	+	PLEKHA1	122432196	2.8	4.18
ENSG00000107679.15	chr10	+	PLEKHA1	122429168	3.5	2.28
ENSG00000107679.15	chr10	+	PLEKHA1	122427290	1.4	1.9
ENSG00000107679.15	chr10	+	PLEKHA1	122431801	3.5	0.38
ENSG00000107679.15	chr10	+	PLEKHA1	122432412	1.4	1.14
ENSG00000107719.10	chr10	+	PALD1	70568450	94.83	89.29
ENSG00000107731.12	chr10	+	UNC5B	71302864	80.68	80.95
ENSG00000107731.12	chr10	+	UNC5B	71299959	7.39	9.52
ENSG00000107736.22	chr10	+	CDH23	71646780	19.23	22.22
ENSG00000107736.22	chr10	+	CDH23	71646849	26.92	0
ENSG00000107736.22	chr10	+	CDH23	71647902	19.23	11.11
ENSG00000107736.22	chr10	+	CDH23	71707510	15.38	22.22
ENSG00000107745.20	chr10	-	MICU1	72367339	90.26	92.08
ENSG00000107745.20	chr10	-	MICU1	72529391	1.95	1.49
ENSG00000107745.20	chr10	-	MICU1	72367953	0.65	1.98
ENSG00000107758.16	chr10	-	PPP3CB	73436804	51.01	51.47
ENSG00000107758.16	chr10	-	PPP3CB	73443788	39.68	42.12
ENSG00000107758.16	chr10	-	PPP3CB	73466960	2.02	1.83
ENSG00000107758.16	chr10	-	PPP3CB	73436640	1.62	2.01
ENSG00000107771.17	chr10	+	CCSER2	84518517	45.65	64.55
ENSG00000107771.17	chr10	+	CCSER2	84514405	30.43	17.99
ENSG00000107771.17	chr10	+	CCSER2	84514807	23.91	13.76
ENSG00000107779.14	chr10	+	BMPR1A	86925184	58.81	51.88
ENSG00000107779.14	chr10	+	BMPR1A	86927967	29.02	33.75
ENSG00000107779.14	chr10	+	BMPR1A	86929770	0.52	4.38
ENSG00000107779.14	chr10	+	BMPR1A	86924706	2.59	0.94
ENSG00000107789.16	chr10	+	MINPP1	87553388	91.53	92.07
ENSG00000107789.16	chr10	+	MINPP1	87553455	2.12	3.08
ENSG00000107796.13	chr10	-	ACTA2	88935073	100	96.02
ENSG00000107798.18	chr10	-	LIPA	89213571	93.2	91.98
ENSG00000107815.10	chr10	+	TWNK	100994401	96.5	100
ENSG00000107816.17	chr10	+	LZTS2	101007833	93.17	97.08
ENSG00000107829.15	chr10	-	FBXW4	101610665	89.57	94.95
ENSG00000107829.15	chr10	-	FBXW4	101610842	1.74	1.01
ENSG00000107833.11	chr10	-	NPM3	101781324	98.34	98.43
ENSG00000107854.6	chr10	+	TNKS2	91865276	71.78	64.53
ENSG00000107854.6	chr10	+	TNKS2	91865374	19.8	28.72
ENSG00000107854.6	chr10	+	TNKS2	91863473	0.5	2.03
ENSG00000107862.7	chr10	+	GBF1	102382896	92.86	96.12
ENSG00000107863.20	chr10	-	ARHGAP21	24583613	88.32	93
ENSG00000107863.20	chr10	-	ARHGAP21	24629523	3.65	1.85
ENSG00000107864.15	chr10	-	CPEB3	92046691	20	72.22
ENSG00000107864.15	chr10	-	CPEB3	92048639	40	20.83
ENSG00000107864.15	chr10	-	CPEB3	92048995	20	4.17
ENSG00000107864.15	chr10	-	CPEB3	92048860	20	2.78
ENSG00000107872.14	chr10	+	FBXL15	102423136	98.18	98.67
ENSG00000107874.11	chr10	-	CUEDC2	102423248	92.02	94.77
ENSG00000107874.11	chr10	-	CUEDC2	102431122	3.49	1.99
ENSG00000107882.12	chr10	+	SUFU	102633454	74.7	82.35
ENSG00000107882.12	chr10	+	SUFU	102630753	4.82	7.56
ENSG00000107882.12	chr10	+	SUFU	102619463	7.23	2.52
ENSG00000107882.12	chr10	+	SUFU	102513098	3.61	1.68
ENSG00000107882.12	chr10	+	SUFU	102524868	3.61	0.84
ENSG00000107882.12	chr10	+	SUFU	102552954	1.2	1.68
ENSG00000107890.17	chr10	-	ANKRD26	27005513	18.18	11.36
ENSG00000107890.17	chr10	-	ANKRD26	27004044	18.18	11.36
ENSG00000107890.17	chr10	-	ANKRD26	27003444	4.55	18.18
ENSG00000107890.17	chr10	-	ANKRD26	26991872	6.82	9.09
ENSG00000107890.17	chr10	-	ANKRD26	27004115	6.82	9.09
ENSG00000107890.17	chr10	-	ANKRD26	27004308	4.55	6.82
ENSG00000107890.17	chr10	-	ANKRD26	27005087	6.82	4.55
ENSG00000107897.20	chr10	-	ACBD5	27195216	78.38	79.87
ENSG00000107897.20	chr10	-	ACBD5	27197002	9.46	9.09
ENSG00000107897.20	chr10	-	ACBD5	27195484	4.05	9.09
ENSG00000107902.14	chr10	+	LHPP	124614141	65.62	69.35
ENSG00000107902.14	chr10	+	LHPP	124498515	15.18	14.52
ENSG00000107902.14	chr10	+	LHPP	124613746	5.8	3.23
ENSG00000107902.14	chr10	+	LHPP	124617881	1.79	1.61
ENSG00000107902.14	chr10	+	LHPP	124517376	0.45	4.84
ENSG00000107902.14	chr10	+	LHPP	124563656	0.89	1.61
ENSG00000107929.16	chr10	-	LARP4B	809541	42.94	41.67
ENSG00000107929.16	chr10	-	LARP4B	811805	27.65	21.88
ENSG00000107929.16	chr10	-	LARP4B	809498	9.41	9.38
ENSG00000107929.16	chr10	-	LARP4B	811209	8.82	8.85
ENSG00000107929.16	chr10	-	LARP4B	810020	2.94	5.73
ENSG00000107929.16	chr10	-	LARP4B	806913	0.59	5.21
ENSG00000107929.16	chr10	-	LARP4B	811082	0	2.6
ENSG00000107937.19	chr10	+	GTPBP4	1017692	69.51	66.67
ENSG00000107937.19	chr10	+	GTPBP4	1017768	13.41	13.15
ENSG00000107937.19	chr10	+	GTPBP4	1019932	9.15	12.23
ENSG00000107938.18	chr10	+	EDRF1	125764139	75.51	90.11
ENSG00000107938.18	chr10	+	EDRF1	125741665	8.16	1.1
ENSG00000107938.18	chr10	+	EDRF1	125742914	6.12	0
ENSG00000107938.18	chr10	+	EDRF1	125764224	2.04	0
ENSG00000107949.17	chr10	+	BCCIP	125836548	48.19	33.88
ENSG00000107949.17	chr10	+	BCCIP	125842802	21.29	39.84
ENSG00000107949.17	chr10	+	BCCIP	125853524	11.23	9.76
ENSG00000107949.17	chr10	+	BCCIP	125853457	5.61	3.25
ENSG00000107949.17	chr10	+	BCCIP	125853695	5.03	2.71
ENSG00000107949.17	chr10	+	BCCIP	125841624	2.92	5.69
ENSG00000107951.15	chr10	-	MTPAP	30312825	72	58.54
ENSG00000107951.15	chr10	-	MTPAP	30309800	10.86	25.61
ENSG00000107951.15	chr10	-	MTPAP	30340154	6.29	8.54
ENSG00000107951.15	chr10	-	MTPAP	30312883	2.29	0
ENSG00000107951.15	chr10	-	MTPAP	30312967	1.71	1.22
ENSG00000107957.17	chr10	-	SH3PXD2A	103594031	35.14	82.43
ENSG00000107957.17	chr10	-	SH3PXD2A	103600291	48.65	10.14
ENSG00000107959.17	chr10	-	PITRM1	3137727	85.04	89.08
ENSG00000107959.17	chr10	-	PITRM1	3151175	3.15	3.41
ENSG00000107960.12	chr10	-	STN1	103882525	46.05	33.68
ENSG00000107960.12	chr10	-	STN1	103882072	7.89	11.58
ENSG00000107960.12	chr10	-	STN1	103877568	5.26	10.53
ENSG00000107960.12	chr10	-	STN1	103881715	6.58	5.26
ENSG00000107968.10	chr10	+	MAP3K8	30439467	40.91	37.5
ENSG00000107968.10	chr10	+	MAP3K8	30461789	36.36	18.75
ENSG00000107968.10	chr10	+	MAP3K8	30439935	13.64	25
ENSG00000107968.10	chr10	+	MAP3K8	30461833	4.55	18.75
ENSG00000108010.12	chr10	+	GLRX3	130179608	74.71	75.09
ENSG00000108010.12	chr10	+	GLRX3	130180377	14.59	9.18
ENSG00000108010.12	chr10	+	GLRX3	130179415	2.14	3.21
ENSG00000108010.12	chr10	+	GLRX3	130179668	1.85	3.44
ENSG00000108010.12	chr10	+	GLRX3	130183643	1.07	1.49
ENSG00000108018.16	chr10	-	SORCS1	106573904	61.54	81.16
ENSG00000108018.16	chr10	-	SORCS1	106575827	7.69	8.7
ENSG00000108021.22	chr10	+	TASOR2	5763740	83.72	82.32
ENSG00000108021.22	chr10	+	TASOR2	5763519	2.33	0.61
ENSG00000108021.22	chr10	+	TASOR2	5764439	0	2.44
ENSG00000108039.18	chr10	-	XPNPEP1	109864765	96.61	96.84
ENSG00000108055.11	chr10	+	SMC3	110604634	94.48	81.42
ENSG00000108055.11	chr10	+	SMC3	110606048	1.95	14.2
ENSG00000108061.13	chr10	+	SHOC2	111013665	93.27	94.4
ENSG00000108064.11	chr10	+	TFAM	58396138	54.06	51.17
ENSG00000108064.11	chr10	+	TFAM	58399220	12.19	15.62
ENSG00000108064.11	chr10	+	TFAM	58395737	8.13	5.47
ENSG00000108064.11	chr10	+	TFAM	58399069	7.6	8.2
ENSG00000108064.11	chr10	+	TFAM	58399021	5.3	8.2
ENSG00000108064.11	chr10	+	TFAM	58395679	2.83	2.34
ENSG00000108064.11	chr10	+	TFAM	58399186	1.77	2.34
ENSG00000108091.11	chr10	-	CCDC6	59788762	81.67	87.43
ENSG00000108091.11	chr10	-	CCDC6	59791749	12.44	8.38
ENSG00000108094.17	chr10	-	CUL2	35009861	77.39	75.24
ENSG00000108094.17	chr10	-	CUL2	35008550	15.65	14.66
ENSG00000108094.17	chr10	-	CUL2	35009798	0.43	1.95
ENSG00000108094.17	chr10	-	CUL2	35008508	1.3	0.98
ENSG00000108100.18	chr10	+	CCNY	35569728	47.28	43.24
ENSG00000108100.18	chr10	+	CCNY	35571325	36.1	34.71
ENSG00000108100.18	chr10	+	CCNY	35571795	7.35	12.94
ENSG00000108100.18	chr10	+	CCNY	35571920	1.6	3.24
ENSG00000108100.18	chr10	+	CCNY	35570347	2.88	1.18
ENSG00000108106.14	chr19	-	UBE2S	55401282	96.38	96.35
ENSG00000108107.15	chr19	+	RPL28	55388373	98.05	97.64
ENSG00000108175.19	chr10	+	ZMIZ1	79316519	51.8	62.74
ENSG00000108175.19	chr10	+	ZMIZ1	79316379	41.73	33.33
ENSG00000108176.15	chr10	-	DNAJC12	67796664	58.33	78.23
ENSG00000108176.15	chr10	-	DNAJC12	67796885	16.67	12.9
ENSG00000108176.15	chr10	-	DNAJC12	67811328	8.33	1.61
ENSG00000108179.14	chr10	+	PPIF	79354717	67.29	65.86
ENSG00000108179.14	chr10	+	PPIF	79355334	31.35	30.92
ENSG00000108187.16	chr10	-	PBLD	68282659	66.67	76.92
ENSG00000108187.16	chr10	-	PBLD	68282954	11.11	23.08
ENSG00000108219.16	chr10	+	TSPAN14	80519630	44.67	52.24
ENSG00000108219.16	chr10	+	TSPAN14	80522631	36.43	30.08
ENSG00000108219.16	chr10	+	TSPAN14	80522565	3.09	3.03
ENSG00000108219.16	chr10	+	TSPAN14	80527545	1.37	1.58
ENSG00000108219.16	chr10	+	TSPAN14	80533123	1.37	1.72
ENSG00000108239.9	chr10	+	TBC1D12	94535930	69.23	68.66
ENSG00000108239.9	chr10	+	TBC1D12	94537455	15.38	10.45
ENSG00000108239.9	chr10	+	TBC1D12	94536219	7.69	7.46
ENSG00000108239.9	chr10	+	TBC1D12	94533386	0	4.48
ENSG00000108239.9	chr10	+	TBC1D12	94534132	0	4.48
ENSG00000108256.9	chr17	-	NUFIP2	29255840	20.34	28.77
ENSG00000108256.9	chr17	-	NUFIP2	29262379	21.38	22.79
ENSG00000108256.9	chr17	-	NUFIP2	29261627	13.42	13.39
ENSG00000108256.9	chr17	-	NUFIP2	29257333	10.69	8.26
ENSG00000108256.9	chr17	-	NUFIP2	29257162	7.13	6.27
ENSG00000108256.9	chr17	-	NUFIP2	29257518	5.66	6.55
ENSG00000108256.9	chr17	-	NUFIP2	29263631	3.14	2.56
ENSG00000108256.9	chr17	-	NUFIP2	29262423	3.35	0.85
ENSG00000108256.9	chr17	-	NUFIP2	29263350	2.31	1.71
ENSG00000108256.9	chr17	-	NUFIP2	29263191	1.47	1.42
ENSG00000108262.16	chr17	-	GIT1	29573474	92.05	93.54
ENSG00000108298.12	chr17	+	RPL19	39204727	93.54	94.8
ENSG00000108306.13	chr17	-	FBXL20	39252662	21.05	44.87
ENSG00000108306.13	chr17	-	FBXL20	39260591	47.37	35.9
ENSG00000108306.13	chr17	-	FBXL20	39252122	2.63	3.85
ENSG00000108306.13	chr17	-	FBXL20	39252727	2.63	3.85
ENSG00000108306.13	chr17	-	FBXL20	39399717	7.89	0
ENSG00000108309.14	chr17	+	RUNDC3A	44318670	62.96	60.82
ENSG00000108309.14	chr17	+	RUNDC3A	44317856	29.63	34.62
ENSG00000108312.16	chr17	-	UBTF	44206592	63.31	46.93
ENSG00000108312.16	chr17	-	UBTF	44205039	31.24	47.67
ENSG00000108344.15	chr17	+	PSMD3	39997959	95.9	97.78
ENSG00000108349.17	chr17	+	CASC3	40172167	95.46	96.74
ENSG00000108352.13	chr17	+	RAPGEFL1	40195650	87.88	94.74
ENSG00000108352.13	chr17	+	RAPGEFL1	40191046	7.58	2.63
ENSG00000108370.17	chr17	+	RGS9	65111095	56.58	16.67
ENSG00000108370.17	chr17	+	RGS9	65113128	32.89	2.38
ENSG00000108370.17	chr17	+	RGS9	65227703	0	59.52
ENSG00000108370.17	chr17	+	RGS9	65180888	1.32	7.14
ENSG00000108370.17	chr17	+	RGS9	65180059	1.32	4.76
ENSG00000108384.16	chr17	+	RAD51C	58734327	66.67	66.42
ENSG00000108384.16	chr17	+	RAD51C	58695333	18.94	19.71
ENSG00000108384.16	chr17	+	RAD51C	58735611	2.27	5.84
ENSG00000108384.16	chr17	+	RAD51C	58695186	1.52	0.73
ENSG00000108384.16	chr17	+	RAD51C	58695378	4.55	0.73
ENSG00000108387.16	chr17	-	SEPTIN4	58520256	94.87	93.06
ENSG00000108387.16	chr17	-	SEPTIN4	58520287	2.56	2.78
ENSG00000108389.10	chr17	-	MTMR4	58489536	92.44	94.42
ENSG00000108389.10	chr17	-	MTMR4	58490492	2.52	1.2
ENSG00000108395.14	chr17	-	TRIM37	58998201	88.04	88.33
ENSG00000108395.14	chr17	-	TRIM37	58982648	5.43	5
ENSG00000108406.10	chr17	+	DHX40	59608345	79.71	82.33
ENSG00000108406.10	chr17	+	DHX40	59607563	14.49	12.09
ENSG00000108423.15	chr17	-	TUBD1	59859478	80.77	79.55
ENSG00000108424.11	chr17	+	KPNB1	47683638	80.78	66.29
ENSG00000108424.11	chr17	+	KPNB1	47684670	8.49	19.99
ENSG00000108424.11	chr17	+	KPNB1	47685505	1.98	6.73
ENSG00000108424.11	chr17	+	KPNB1	47683552	2.14	0.92
ENSG00000108433.17	chr17	+	GOSR2	46942020	25.88	18.66
ENSG00000108433.17	chr17	+	GOSR2	46938997	8.77	15.31
ENSG00000108433.17	chr17	+	GOSR2	46941367	10.96	11.96
ENSG00000108433.17	chr17	+	GOSR2	46938904	7.89	10.05
ENSG00000108433.17	chr17	+	GOSR2	46939860	7.46	6.7
ENSG00000108433.17	chr17	+	GOSR2	46939387	3.95	5.26
ENSG00000108433.17	chr17	+	GOSR2	46966995	4.82	2.39
ENSG00000108433.17	chr17	+	GOSR2	46933267	2.19	3.83
ENSG00000108433.17	chr17	+	GOSR2	46938859	3.95	1.44
ENSG00000108433.17	chr17	+	GOSR2	46936822	3.07	4.78
ENSG00000108433.17	chr17	+	GOSR2	46933020	1.32	1.91
ENSG00000108433.17	chr17	+	GOSR2	46937686	0.88	2.39
ENSG00000108433.17	chr17	+	GOSR2	46940794	3.07	0.96
ENSG00000108439.11	chr17	+	PNPO	47949308	51.85	58.62
ENSG00000108439.11	chr17	+	PNPO	47948275	48.15	37.93
ENSG00000108443.14	chr17	+	RPS6KB1	59950420	59.09	63.39
ENSG00000108443.14	chr17	+	RPS6KB1	59947461	34.55	26.79
ENSG00000108443.14	chr17	+	RPS6KB1	59948187	0.91	7.14
ENSG00000108465.15	chr17	+	CDK5RAP3	47981767	95.94	94.19
ENSG00000108468.15	chr17	-	CBX1	48070058	96.62	95.44
ENSG00000108469.15	chr17	-	RECQL5	75626853	86.15	85.42
ENSG00000108469.15	chr17	-	RECQL5	75649713	6.15	2.08
ENSG00000108474.17	chr17	+	PIGL	16218212	37.8	36.59
ENSG00000108474.17	chr17	+	PIGL	16326252	36.59	18.29
