gene_id	chrom	strand	gene_name	PAS	D0_1 reads	D0_1 PAU	D0_1 host gene reads	D0_2 reads	D0_2 PAU	D0_2 host gene reads	D0_3 reads	D0_3 PAU	D0_3 host gene reads	D7_1 reads	D7_1 PAU	D7_1 host gene reads	D7_2 reads	D7_2 PAU	D7_2 host gene reads	D7_3 reads	D7_3 PAU	D7_3 host gene reads
ENSG00000160209.19	chr21	+	PDXK	43756146	132	46.316	285	70	48.276	145	113	43.798	258	22	46.809	47	56	46.667	120	28	41.176	68
ENSG00000160209.19	chr21	+	PDXK	43756214	82	28.772	285	32	22.069	145	58	22.481	258	13	27.66	47	34	28.333	120	15	22.059	68
ENSG00000160209.19	chr21	+	PDXK	43758947	11	3.86	285	6	4.138	145	11	4.264	258	3	6.383	47	7	5.833	120	9	13.235	68
ENSG00000160209.19	chr21	+	PDXK	43762296	37	12.982	285	31	21.379	145	67	25.969	258	7	14.894	47	16	13.333	120	12	17.647	68
ENSG00000160213.9	chr21	-	CSTB	43772512	9	0.751	1198	2	0.38	527	8	0.89	899	6	2.449	245	14	2.887	485	6	2.691	223
ENSG00000160213.9	chr21	-	CSTB	43773697	11	0.918	1198	4	0.759	527	15	1.669	899	2	0.816	245	4	0.825	485	3	1.345	223
ENSG00000160213.9	chr21	-	CSTB	43773950	1171	97.746	1198	520	98.672	527	872	96.997	899	237	96.735	245	467	96.289	485	213	95.516	223
ENSG00000160214.13	chr21	+	RRP1	43804099	303	96.497	314	149	94.304	158	287	95.987	299	39	84.783	46	97	97	100	44	91.667	48
ENSG00000160214.13	chr21	+	RRP1	43804224	3	0.955	314	1	0.633	158	2	0.669	299	3	6.522	46	1	1	100	0	0	48
ENSG00000160214.13	chr21	+	RRP1	43805757	5	1.592	314	1	0.633	158	2	0.669	299	0	0	46	2	2	100	2	4.167	48
ENSG00000160216.21	chr21	+	AGPAT3	43983137	1	14.286	7	1	14.286	7	2	22.222	9	0	0	21	2	4.167	48	4	10	40
ENSG00000160216.21	chr21	+	AGPAT3	43983349	0	0	7	0	0	7	0	0	9	1	4.762	21	4	8.333	48	0	0	40
ENSG00000160216.21	chr21	+	AGPAT3	43984673	5	71.429	7	6	85.714	7	3	33.333	9	1	4.762	21	10	20.833	48	10	25	40
ENSG00000160216.21	chr21	+	AGPAT3	43986540	0	0	7	0	0	7	1	11.111	9	2	9.524	21	8	16.667	48	11	27.5	40
ENSG00000160216.21	chr21	+	AGPAT3	43987140	0	0	7	0	0	7	0	0	9	12	57.143	21	20	41.667	48	11	27.5	40
ENSG00000160218.13	chr21	+	TRAPPC10	44059698	3	3.125	96	4	10.256	39	5	7.692	65	3	11.111	27	4	6.78	59	1	3.704	27
ENSG00000160218.13	chr21	+	TRAPPC10	44060258	12	12.5	96	3	7.692	39	4	6.154	65	0	0	27	2	3.39	59	1	3.704	27
ENSG00000160218.13	chr21	+	TRAPPC10	44083472	2	2.083	96	2	5.128	39	4	6.154	65	0	0	27	0	0	59	0	0	27
ENSG00000160218.13	chr21	+	TRAPPC10	44084502	6	6.25	96	1	2.564	39	4	6.154	65	0	0	27	3	5.085	59	0	0	27
ENSG00000160218.13	chr21	+	TRAPPC10	44100066	2	2.083	96	2	5.128	39	3	4.615	65	1	3.704	27	3	5.085	59	0	0	27
ENSG00000160218.13	chr21	+	TRAPPC10	44104733	10	10.417	96	10	25.641	39	11	16.923	65	7	25.926	27	8	13.559	59	2	7.407	27
ENSG00000160218.13	chr21	+	TRAPPC10	44105050	25	26.042	96	5	12.821	39	12	18.462	65	5	18.519	27	9	15.254	59	7	25.926	27
ENSG00000160218.13	chr21	+	TRAPPC10	44105896	20	20.833	96	5	12.821	39	8	12.308	65	0	0	27	10	16.949	59	3	11.111	27
ENSG00000160218.13	chr21	+	TRAPPC10	44106277	4	4.167	96	3	7.692	39	6	9.231	65	3	11.111	27	5	8.475	59	2	7.407	27
ENSG00000160218.13	chr21	+	TRAPPC10	44106552	6	6.25	96	4	10.256	39	2	3.077	65	6	22.222	27	8	13.559	59	4	14.815	27
ENSG00000160226.16	chr21	-	CFAP410	44328944	15	20.548	73	2	6.897	29	8	14.545	55	6	20.69	29	11	16.667	66	6	14.286	42
ENSG00000160226.16	chr21	-	CFAP410	44329891	56	76.712	73	27	93.103	29	41	74.545	55	22	75.862	29	52	78.788	66	34	80.952	42
ENSG00000160256.13	chr21	+	SLX9	44976973	378	97.927	386	181	99.451	182	301	97.727	308	34	91.892	37	71	94.667	75	43	97.727	44
ENSG00000160284.15	chr21	-	SPATC1L	46161160	383	98.711	388	138	98.571	140	247	98.8	250	57	96.61	59	129	98.473	131	72	97.297	74
ENSG00000160285.15	chr21	-	LSS	46188446	15	4.505	333	14	7.143	196	10	2.933	341	14	8	175	41	10.354	396	19	10.92	174
ENSG00000160285.15	chr21	-	LSS	46189131	309	92.793	333	179	91.327	196	326	95.601	341	154	88	175	338	85.354	396	150	86.207	174
ENSG00000160294.11	chr21	-	MCM3AP	46235133	203	88.646	229	88	89.796	98	166	84.264	197	58	90.625	64	147	90.741	162	75	88.235	85
ENSG00000160294.11	chr21	-	MCM3AP	46235191	5	2.183	229	3	3.061	98	8	4.061	197	0	0	64	1	0.617	162	3	3.529	85
ENSG00000160294.11	chr21	-	MCM3AP	46251515	6	2.62	229	5	5.102	98	8	4.061	197	4	6.25	64	3	1.852	162	2	2.353	85
ENSG00000160298.18	chr21	-	C21orf58	46300510	2	5.882	34	0	0	10	2	6.25	32	1	11.111	9	0	0	13	0	0	13
ENSG00000160298.18	chr21	-	C21orf58	46301134	14	41.176	34	2	20	10	9	28.125	32	5	55.556	9	6	46.154	13	7	53.846	13
ENSG00000160298.18	chr21	-	C21orf58	46301306	5	14.706	34	0	0	10	3	9.375	32	0	0	9	0	0	13	0	0	13
ENSG00000160298.18	chr21	-	C21orf58	46321022	1	2.941	34	1	10	10	4	12.5	32	1	11.111	9	0	0	13	4	30.769	13
ENSG00000160298.18	chr21	-	C21orf58	46321756	2	5.882	34	2	20	10	0	0	32	0	0	9	1	7.692	13	0	0	13
ENSG00000160298.18	chr21	-	C21orf58	46322333	2	5.882	34	0	0	10	2	6.25	32	0	0	9	2	15.385	13	0	0	13
ENSG00000160298.18	chr21	-	C21orf58	46323014	4	11.765	34	1	10	10	6	18.75	32	0	0	9	0	0	13	0	0	13
ENSG00000160299.19	chr21	+	PCNT	46445767	71	91.026	78	53	96.364	55	74	96.104	77	32	96.97	33	66	98.507	67	27	90	30
ENSG00000160305.18	chr21	+	DIP2A	46546306	0	0	46	1	7.143	14	4	8.696	46	1	4	25	5	5.747	87	2	4.545	44
ENSG00000160305.18	chr21	+	DIP2A	46547207	3	6.522	46	1	7.143	14	5	10.87	46	3	12	25	3	3.448	87	2	4.545	44
ENSG00000160305.18	chr21	+	DIP2A	46558730	1	2.174	46	0	0	14	1	2.174	46	2	8	25	1	1.149	87	2	4.545	44
ENSG00000160305.18	chr21	+	DIP2A	46569708	28	60.87	46	8	57.143	14	23	50	46	12	48	25	54	62.069	87	24	54.545	44
ENSG00000160305.18	chr21	+	DIP2A	46569867	1	2.174	46	1	7.143	14	2	4.348	46	1	4	25	7	8.046	87	3	6.818	44
ENSG00000160305.18	chr21	+	DIP2A	46570015	5	10.87	46	2	14.286	14	1	2.174	46	1	4	25	7	8.046	87	6	13.636	44
ENSG00000160305.18	chr21	+	DIP2A	46572157	2	4.348	46	0	0	14	4	8.696	46	0	0	25	2	2.299	87	0	0	44
ENSG00000160310.19	chr21	+	PRMT2	46649888	74	29.6	250	41	37.963	108	67	32.524	206	33	13.808	239	62	12.475	497	34	13.821	246
ENSG00000160310.19	chr21	+	PRMT2	46653142	5	2	250	2	1.852	108	4	1.942	206	3	1.255	239	10	2.012	497	3	1.22	246
ENSG00000160310.19	chr21	+	PRMT2	46660144	33	13.2	250	11	10.185	108	21	10.194	206	26	10.879	239	62	12.475	497	24	9.756	246
ENSG00000160310.19	chr21	+	PRMT2	46661270	5	2	250	6	5.556	108	13	6.311	206	14	5.858	239	49	9.859	497	12	4.878	246
ENSG00000160310.19	chr21	+	PRMT2	46664941	106	42.4	250	36	33.333	108	73	35.437	206	133	55.649	239	274	55.131	497	133	54.065	246
ENSG00000160310.19	chr21	+	PRMT2	46665124	4	1.6	250	1	0.926	108	2	0.971	206	7	2.929	239	9	1.811	497	5	2.033	246
ENSG00000160310.19	chr21	+	PRMT2	46665685	4	1.6	250	6	5.556	108	9	4.369	206	7	2.929	239	17	3.421	497	13	5.285	246
ENSG00000166265.13	chr21	-	CYYR1	26466216	50	30.303	165	30	40	75	51	33.333	153	13	68.421	19	17	40.476	42	10	47.619	21
ENSG00000166265.13	chr21	-	CYYR1	26467126	2	1.212	165	1	1.333	75	2	1.307	153	0	0	19	1	2.381	42	0	0	21
ENSG00000166265.13	chr21	-	CYYR1	26467265	80	48.485	165	27	36	75	67	43.791	153	4	21.053	19	17	40.476	42	6	28.571	21
ENSG00000166265.13	chr21	-	CYYR1	26468030	8	4.848	165	5	6.667	75	14	9.15	153	2	10.526	19	2	4.762	42	2	9.524	21
ENSG00000166265.13	chr21	-	CYYR1	26477577	9	5.455	165	1	1.333	75	6	3.922	153	0	0	19	1	2.381	42	0	0	21
ENSG00000166265.13	chr21	-	CYYR1	26566032	11	6.667	165	2	2.667	75	3	1.961	153	0	0	19	1	2.381	42	0	0	21
ENSG00000173276.14	chr21	-	ZBTB21	41986831	11	23.913	46	6	40	15	7	23.333	30	7	87.5	8	23	67.647	34	15	65.217	23
ENSG00000173276.14	chr21	-	ZBTB21	41988639	23	50	46	8	53.333	15	17	56.667	30	1	12.5	8	6	17.647	34	7	30.435	23
ENSG00000173276.14	chr21	-	ZBTB21	41990336	2	4.348	46	1	6.667	15	2	6.667	30	0	0	8	0	0	34	0	0	23
ENSG00000173276.14	chr21	-	ZBTB21	41990769	3	6.522	46	0	0	15	2	6.667	30	0	0	8	2	5.882	34	0	0	23
ENSG00000173638.19	chr21	-	SLC19A1	45512233	3	1.351	222	3	3.488	86	1	0.645	155	3	7.317	41	4	3.333	120	2	3.571	56
ENSG00000173638.19	chr21	-	SLC19A1	45512394	3	1.351	222	1	1.163	86	1	0.645	155	3	7.317	41	2	1.667	120	2	3.571	56
ENSG00000173638.19	chr21	-	SLC19A1	45512569	28	12.613	222	8	9.302	86	13	8.387	155	4	9.756	41	18	15	120	9	16.071	56
ENSG00000173638.19	chr21	-	SLC19A1	45513724	9	4.054	222	0	0	86	4	2.581	155	1	2.439	41	6	5	120	0	0	56
ENSG00000173638.19	chr21	-	SLC19A1	45513776	29	13.063	222	4	4.651	86	14	9.032	155	4	9.756	41	20	16.667	120	7	12.5	56
ENSG00000173638.19	chr21	-	SLC19A1	45514715	127	57.207	222	59	68.605	86	105	67.742	155	20	48.78	41	57	47.5	120	27	48.214	56
ENSG00000173638.19	chr21	-	SLC19A1	45515134	16	7.207	222	6	6.977	86	9	5.806	155	2	4.878	41	9	7.5	120	5	8.929	56
ENSG00000180530.11	chr21	-	NRIP1	14961244	39	92.857	42	27	90	30	54	94.737	57	54	93.103	58	103	91.964	112	68	95.775	71
ENSG00000180530.11	chr21	-	NRIP1	14961753	3	7.143	42	1	3.333	30	0	0	57	1	1.724	58	2	1.786	112	1	1.408	71
ENSG00000182093.16	chr21	+	GET1	39397700	160	75.472	212	76	80	95	142	79.33	179	189	81.466	232	467	79.966	584	232	83.453	278
ENSG00000182093.16	chr21	+	GET1	39397788	25	11.792	212	5	5.263	95	16	8.939	179	23	9.914	232	62	10.616	584	27	9.712	278
ENSG00000182093.16	chr21	+	GET1	39397889	20	9.434	212	11	11.579	95	18	10.056	179	17	7.328	232	43	7.363	584	16	5.755	278
ENSG00000182240.16	chr21	+	BACE2	41275860	6	15.789	38	4	23.529	17	11	42.308	26	1	11.111	9	4	21.053	19	4	36.364	11
ENSG00000182240.16	chr21	+	BACE2	41275947	2	5.263	38	1	5.882	17	1	3.846	26	1	11.111	9	4	21.053	19	0	0	11
ENSG00000182240.16	chr21	+	BACE2	41276589	22	57.895	38	7	41.176	17	7	26.923	26	6	66.667	9	9	47.368	19	6	54.545	11
ENSG00000182240.16	chr21	+	BACE2	41282530	2	5.263	38	5	29.412	17	5	19.231	26	1	11.111	9	2	10.526	19	0	0	11
ENSG00000182362.14	chr21	+	YBEY	46287086	2	1.093	183	1	1.429	70	3	2.586	116	0	0	32	3	3.226	93	1	3.571	28
ENSG00000182362.14	chr21	+	YBEY	46297723	167	91.257	183	66	94.286	70	109	93.966	116	29	90.625	32	79	84.946	93	23	82.143	28
ENSG00000182362.14	chr21	+	YBEY	46313225	2	1.093	183	0	0	70	0	0	116	0	0	32	2	2.151	93	2	7.143	28
ENSG00000182670.14	chr21	+	TTC3	37201796	1	0.719	139	2	2.778	72	2	1.739	115	4	1.408	284	9	1.366	659	1	0.272	368
ENSG00000182670.14	chr21	+	TTC3	37203104	129	92.806	139	67	93.056	72	107	93.043	115	266	93.662	284	625	94.841	659	356	96.739	368
ENSG00000182871.16	chr21	+	COL18A1	45512587	364	41.791	871	153	42.149	363	317	39.675	799	242	42.756	566	530	40.99	1293	264	40.741	648
ENSG00000182871.16	chr21	+	COL18A1	45513720	464	53.272	871	201	55.372	363	453	56.696	799	292	51.59	566	710	54.911	1293	352	54.321	648
ENSG00000183255.12	chr21	-	PTTG1IP	44849598	519	94.022	552	237	94.422	251	439	92.421	475	386	93.917	411	996	95.129	1047	549	94.007	584
ENSG00000183255.12	chr21	-	PTTG1IP	44849872	7	1.268	552	6	2.39	251	10	2.105	475	10	2.433	411	27	2.579	1047	18	3.082	584
ENSG00000183527.12	chr21	-	PSMG1	39174714	1	0.181	553	1	0.402	249	2	0.524	382	5	5.495	91	8	4.082	196	9	9.574	94
ENSG00000183527.12	chr21	-	PSMG1	39175458	543	98.192	553	246	98.795	249	376	98.429	382	84	92.308	91	186	94.898	196	85	90.426	94
ENSG00000183570.17	chr21	+	PCBP3	45933646	1	2.778	36	0	0	13	2	6.667	30	1	4.762	21	6	11.538	52	7	25	28
ENSG00000183570.17	chr21	+	PCBP3	45942450	32	88.889	36	13	100	13	25	83.333	30	19	90.476	21	40	76.923	52	20	71.429	28
ENSG00000184221.13	chr21	+	OLIG1	33072413	22	95.652	23	7	100	7	29	100	29	18	94.737	19	40	95.238	42	16	94.118	17
ENSG00000184787.19	chr21	-	UBE2G2	44769046	240	84.806	283	105	85.366	123	192	85.714	224	80	86.022	93	180	86.538	208	78	88.636	88
ENSG00000184787.19	chr21	-	UBE2G2	44769117	15	5.3	283	6	4.878	123	13	5.804	224	2	2.151	93	12	5.769	208	3	3.409	88
ENSG00000184787.19	chr21	-	UBE2G2	44771263	6	2.12	283	4	3.252	123	8	3.571	224	2	2.151	93	2	0.962	208	0	0	88
ENSG00000184787.19	chr21	-	UBE2G2	44799987	7	2.473	283	1	0.813	123	5	2.232	224	3	3.226	93	7	3.365	208	1	1.136	88
ENSG00000184900.16	chr21	-	SUMO3	44805617	693	79.564	871	290	73.048	397	537	83.256	645	111	79.286	140	287	79.501	361	138	81.657	169
ENSG00000184900.16	chr21	-	SUMO3	44805858	93	10.677	871	61	15.365	397	54	8.372	645	11	7.857	140	37	10.249	361	22	13.018	169
ENSG00000184900.16	chr21	-	SUMO3	44806715	51	5.855	871	29	7.305	397	37	5.736	645	10	7.143	140	22	6.094	361	4	2.367	169
ENSG00000185437.16	chr21	+	SH3BGR	39515504	28	93.333	30	11	91.667	12	22	100	22	8	80	10	29	96.667	30	9	100	9
ENSG00000185658.14	chr21	-	BRWD1	39184176	7	4.762	147	3	5.455	55	14	12.174	115	7	7.609	92	21	9.292	226	5	5.556	90
ENSG00000185658.14	chr21	-	BRWD1	39185482	6	4.082	147	13	23.636	55	7	6.087	115	3	3.261	92	6	2.655	226	1	1.111	90
ENSG00000185658.14	chr21	-	BRWD1	39185893	20	13.605	147	6	10.909	55	10	8.696	115	5	5.435	92	12	5.31	226	7	7.778	90
ENSG00000185658.14	chr21	-	BRWD1	39192419	16	10.884	147	7	12.727	55	13	11.304	115	4	4.348	92	17	7.522	226	2	2.222	90
ENSG00000185658.14	chr21	-	BRWD1	39193819	10	6.803	147	4	7.273	55	4	3.478	115	1	1.087	92	5	2.212	226	3	3.333	90
ENSG00000185658.14	chr21	-	BRWD1	39195580	11	7.483	147	3	5.455	55	13	11.304	115	4	4.348	92	4	1.77	226	2	2.222	90
ENSG00000185658.14	chr21	-	BRWD1	39196120	6	4.082	147	3	5.455	55	5	4.348	115	1	1.087	92	3	1.327	226	1	1.111	90
ENSG00000185658.14	chr21	-	BRWD1	39296439	30	20.408	147	3	5.455	55	18	15.652	115	43	46.739	92	102	45.133	226	47	52.222	90
ENSG00000185658.14	chr21	-	BRWD1	39296775	10	6.803	147	1	1.818	55	4	3.478	115	5	5.435	92	29	12.832	226	15	16.667	90
ENSG00000185658.14	chr21	-	BRWD1	39298077	1	0.68	147	0	0	55	5	4.348	115	7	7.609	92	5	2.212	226	3	3.333	90
ENSG00000185808.14	chr21	-	PIGP	37063701	1	1.22	82	0	0	43	0	0	76	0	0	55	3	2.158	139	1	1.562	64
ENSG00000185808.14	chr21	-	PIGP	37065376	62	75.61	82	33	76.744	43	58	76.316	76	43	78.182	55	106	76.259	139	53	82.812	64
ENSG00000185808.14	chr21	-	PIGP	37065459	7	8.537	82	6	13.953	43	7	9.211	76	7	12.727	55	17	12.23	139	6	9.375	64
ENSG00000185808.14	chr21	-	PIGP	37065512	4	4.878	82	3	6.977	43	6	7.895	76	3	5.455	55	5	3.597	139	2	3.125	64
ENSG00000185808.14	chr21	-	PIGP	37071285	4	4.878	82	0	0	43	4	5.263	76	1	1.818	55	1	0.719	139	0	0	64
ENSG00000185917.14	chr21	-	SETD4	36034541	43	43.434	99	11	31.429	35	30	38.961	77	11	57.895	19	27	39.706	68	9	47.368	19
ENSG00000185917.14	chr21	-	SETD4	36034943	3	3.03	99	2	5.714	35	1	1.299	77	0	0	19	2	2.941	68	0	0	19
ENSG00000185917.14	chr21	-	SETD4	36043684	45	45.455	99	16	45.714	35	43	55.844	77	6	31.579	19	35	51.471	68	8	42.105	19
ENSG00000186866.17	chr21	-	POFUT2	45263019	2	2.222	90	1	2.174	46	1	1.449	69	1	1.429	70	3	1.852	162	2	2.74	73
ENSG00000186866.17	chr21	-	POFUT2	45263935	84	93.333	90	37	80.435	46	59	85.507	69	66	94.286	70	154	95.062	162	67	91.781	73
ENSG00000186866.17	chr21	-	POFUT2	45263987	1	1.111	90	6	13.043	46	7	10.145	69	0	0	70	0	0	162	3	4.11	73
ENSG00000186866.17	chr21	-	POFUT2	45285698	1	1.111	90	1	2.174	46	2	2.899	69	1	1.429	70	3	1.852	162	1	1.37	73
ENSG00000197381.18	chr21	+	ADARB1	45222582	5	21.739	23	3	14.286	21	2	10	20	2	8.696	23	16	30.189	53	8	20.513	39
ENSG00000197381.18	chr21	+	ADARB1	45223286	0	0	23	2	9.524	21	1	5	20	3	13.043	23	1	1.887	53	0	0	39
ENSG00000197381.18	chr21	+	ADARB1	45224246	1	4.348	23	1	4.762	21	1	5	20	0	0	23	1	1.887	53	1	2.564	39
ENSG00000197381.18	chr21	+	ADARB1	45226560	9	39.13	23	13	61.905	21	14	70	20	16	69.565	23	34	64.151	53	26	66.667	39
ENSG00000198618.5	chr21	+	PPIAP22	18857974	2	1.439	139	2	2.857	70	2	1.351	148	0	0	33	0	0	52	3	6.383	47
ENSG00000198618.5	chr21	+	PPIAP22	18858142	2	1.439	139	3	4.286	70	2	1.351	148	0	0	33	1	1.923	52	0	0	47
ENSG00000198618.5	chr21	+	PPIAP22	18858243	3	2.158	139	3	4.286	70	6	4.054	148	2	6.061	33	1	1.923	52	3	6.383	47
ENSG00000198618.5	chr21	+	PPIAP22	18858296	2	1.439	139	2	2.857	70	3	2.027	148	0	0	33	0	0	52	1	2.128	47
ENSG00000198618.5	chr21	+	PPIAP22	18858493	129	92.806	139	60	85.714	70	132	89.189	148	30	90.909	33	50	96.154	52	37	78.723	47
ENSG00000198743.7	chr21	+	SLC5A3	34074277	9	12.329	73	0	0	19	2	4	50	16	16.495	97	18	8.696	207	7	6.863	102
ENSG00000198743.7	chr21	+	SLC5A3	34103454	1	1.37	73	0	0	19	1	2	50	1	1.031	97	3	1.449	207	3	2.941	102
ENSG00000198743.7	chr21	+	SLC5A3	34106260	57	78.082	73	17	89.474	19	46	92	50	77	79.381	97	180	86.957	207	87	85.294	102
ENSG00000198862.14	chr21	-	LTN1	28927885	0	0	72	0	0	30	3	5.085	59	1	2.857	35	3	3.371	89	1	2.174	46
ENSG00000198862.14	chr21	-	LTN1	28928145	64	88.889	72	28	93.333	30	45	76.271	59	30	85.714	35	78	87.64	89	38	82.609	46
ENSG00000198862.14	chr21	-	LTN1	28928238	0	0	72	2	6.667	30	1	1.695	59	2	5.714	35	2	2.247	89	2	4.348	46
ENSG00000198862.14	chr21	-	LTN1	28929800	2	2.778	72	0	0	30	4	6.78	59	1	2.857	35	0	0	89	3	6.522	46
ENSG00000198862.14	chr21	-	LTN1	28930150	3	4.167	72	0	0	30	0	0	59	0	0	35	2	2.247	89	2	4.348	46
ENSG00000205581.11	chr21	-	HMGN1	39342317	3433	98.339	3491	1488	98.674	1508	2643	98.509	2683	606	98.697	614	1505	98.495	1528	635	98.297	646
ENSG00000205670.12	chr21	+	SMIM11	34389151	53	91.379	58	22	100	22	48	96	50	14	87.5	16	21	75	28	9	64.286	14
ENSG00000205670.12	chr21	+	SMIM11	34402773	5	8.621	58	0	0	22	2	4	50	2	12.5	16	6	21.429	28	5	35.714	14
ENSG00000205726.15	chr21	+	ITSN1	33817650	6	2.281	263	5	3.497	143	4	1.639	244	2	3.636	55	8	5	160	6	7.059	85
ENSG00000205726.15	chr21	+	ITSN1	33817736	5	1.901	263	4	2.797	143	8	3.279	244	4	7.273	55	6	3.75	160	1	1.176	85
ENSG00000205726.15	chr21	+	ITSN1	33837369	7	2.662	263	5	3.497	143	8	3.279	244	1	1.818	55	0	0	160	2	2.353	85
ENSG00000205726.15	chr21	+	ITSN1	33837452	27	10.266	263	9	6.294	143	23	9.426	244	4	7.273	55	4	2.5	160	3	3.529	85
ENSG00000205726.15	chr21	+	ITSN1	33838498	197	74.905	263	112	78.322	143	186	76.23	244	32	58.182	55	98	61.25	160	51	60	85
ENSG00000205726.15	chr21	+	ITSN1	33897896	1	0.38	263	0	0	143	0	0	244	3	5.455	55	8	5	160	1	1.176	85
ENSG00000205726.15	chr21	+	ITSN1	33899861	2	0.76	263	1	0.699	143	3	1.23	244	3	5.455	55	30	18.75	160	15	17.647	85
ENSG00000205758.12	chr21	-	CRYZL1	33589341	20	27.778	72	3	11.111	27	7	12.5	56	24	40.678	59	45	36	125	15	22.727	66
ENSG00000205758.12	chr21	-	CRYZL1	33589466	22	30.556	72	6	22.222	27	22	39.286	56	17	28.814	59	30	24	125	29	43.939	66
ENSG00000205758.12	chr21	-	CRYZL1	33589530	4	5.556	72	0	0	27	3	5.357	56	2	3.39	59	4	3.2	125	1	1.515	66
ENSG00000205758.12	chr21	-	CRYZL1	33589588	6	8.333	72	3	11.111	27	2	3.571	56	2	3.39	59	15	12	125	11	16.667	66
ENSG00000205758.12	chr21	-	CRYZL1	33589708	1	1.389	72	2	7.407	27	6	10.714	56	3	5.085	59	6	4.8	125	6	9.091	66
ENSG00000205758.12	chr21	-	CRYZL1	33594497	1	1.389	72	2	7.407	27	6	10.714	56	3	5.085	59	8	6.4	125	0	0	66
ENSG00000205758.12	chr21	-	CRYZL1	33595289	7	9.722	72	6	22.222	27	3	5.357	56	0	0	59	1	0.8	125	1	1.515	66
ENSG00000205758.12	chr21	-	CRYZL1	33595952	2	2.778	72	2	7.407	27	3	5.357	56	2	3.39	59	7	5.6	125	2	3.03	66
ENSG00000205758.12	chr21	-	CRYZL1	33616284	6	8.333	72	1	3.704	27	3	5.357	56	2	3.39	59	6	4.8	125	1	1.515	66
ENSG00000205927.5	chr21	+	OLIG2	33028557	3	13.636	22	1	12.5	8	2	9.524	21	0	0	7	0	0	18	0	0	10
ENSG00000205927.5	chr21	+	OLIG2	33029196	18	81.818	22	4	50	8	17	80.952	21	7	100	7	15	83.333	18	8	80	10
ENSG00000223768.4	chr21	+	LINC00205	45289242	0	0	30	0	0	10	2	8.696	23	0	0	36	3	3.333	90	0	0	53
ENSG00000223768.4	chr21	+	LINC00205	45296598	2	6.667	30	1	10	10	2	8.696	23	1	2.778	36	4	4.444	90	1	1.887	53
ENSG00000223768.4	chr21	+	LINC00205	45296684	0	0	30	2	20	10	0	0	23	1	2.778	36	2	2.222	90	1	1.887	53
ENSG00000223768.4	chr21	+	LINC00205	45296877	7	23.333	30	1	10	10	8	34.783	23	7	19.444	36	16	17.778	90	4	7.547	53
ENSG00000223768.4	chr21	+	LINC00205	45297059	4	13.333	30	2	20	10	0	0	23	2	5.556	36	12	13.333	90	6	11.321	53
ENSG00000223768.4	chr21	+	LINC00205	45297354	15	50	30	4	40	10	10	43.478	23	24	66.667	36	50	55.556	90	35	66.038	53
ENSG00000241837.7	chr21	-	ATP5PO	33903456	2255	99.515	2266	1054	99.528	1059	1816	99.507	1825	688	99.422	692	1681	99.35	1692	786	99.746	788
ENSG00000243927.6	chr21	+	MRPS6	34143030	634	98.908	641	271	99.632	272	485	97.782	496	215	97.285	221	491	98.594	498	245	97.61	251
ENSG00000273590.6	chr21	+	ENSG00000273590	7758627	58	98.305	59	31	96.875	32	52	98.113	53	14	93.333	15	18	94.737	19	14	87.5	16
ENSG00000273590.6	chr21	+	ENSG00000273590	7760557	1	1.695	59	1	3.125	32	0	0	53	1	6.667	15	0	0	19	2	12.5	16
ENSG00000274276.6	chr21	-	ENSG00000274276	6444869	926	98.406	941	351	95.64	367	750	98.555	761	69	97.183	71	120	99.174	121	73	96.053	76
ENSG00000275215.1	chr21	+	RNA5-8SN3	8395763	283	99.648	284	408	100	408	721	100	721	83	97.647	85	115	100	115	560	100	560
ENSG00000275464.6	chr21	-	ENSG00000275464	5130871	74	36.098	205	23	28.049	82	41	27.333	150	7	41.176	17	21	31.818	66	15	45.455	33
ENSG00000275464.6	chr21	-	ENSG00000275464	5130932	129	62.927	205	55	67.073	82	100	66.667	150	10	58.824	17	44	66.667	66	16	48.485	33
ENSG00000275464.6	chr21	-	ENSG00000275464	5130998	0	0	205	4	4.878	82	4	2.667	150	0	0	17	1	1.515	66	2	6.061	33
ENSG00000275895.8	chr21	-	ENSG00000275895	6484623	929	99.465	934	412	99.517	414	683	99.273	688	133	100	133	261	99.618	262	112	98.246	114
ENSG00000275993.4	chr21	+	ENSG00000275993	6123746	17	100	17	5	100	5	22	91.667	24	11	100	11	20	100	20	12	100	12
ENSG00000276529.1	chr21	+	ENSG00000276529	44979253	22	100	22	35	100	35	71	97.26	73	7	100	7	12	100	12	24	100	24
ENSG00000277739.1	chr21	+	5_8S_rRNA	8256937	268	99.628	269	452	100	452	781	99.872	782	74	98.667	75	138	100	138	506	100	506
ENSG00000278189.1	chr21	+	RNA5-8SN1	8439979	284	100	284	439	100	439	764	99.869	765	67	100	67	111	100	111	517	100	517
ENSG00000278233.1	chr21	+	RNA5-8SN2	8212728	300	100	300	426	100	426	788	99.873	789	81	100	81	121	99.18	122	522	100	522
ENSG00000280071.5	chr21	-	ENSG00000280071	5116343	489	90.556	540	228	90.837	251	471	92.899	507	99	96.117	103	185	95.855	193	84	96.552	87
ENSG00000280071.5	chr21	-	ENSG00000280071	5120641	42	7.778	540	16	6.375	251	30	5.917	507	0	0	103	4	2.073	193	2	2.299	87
ENSG00000280433.2	chr21	-	ENSG00000280433	5155499	13	34.211	38	3	15.789	19	8	34.783	23	10	71.429	14	19	57.576	33	12	63.158	19
