gene_id	short_gene_id	APA_change	pvalue	APA_type	chrom	strand	gene_name	gene_biotype	PAS_coordinates	number_of_PAS	reads_D0	PAUs_D0	reads_D7	PAUs_D7	PAU_changes
ENSG00000185272.14	ENSG00000185272	0.236111111111111	0.413406934428205	Last_exon_tandem_APA	chr21	+	RBM11	protein_coding	14227384,14228368	2	9,4	50,22.222	6,6	37.5,37.5	-12.5,15.278
ENSG00000182670.14	ENSG00000182670	0.0270247504597717	0.1742442459446	Last_exon_tandem_APA	chr21	+	TTC3	protein_coding	37201796,37203104	2	5,303	1.534,92.945	14,1247	1.068,95.118	-0.466,2.173
ENSG00000160226.16	ENSG00000160226	-0.0291970802919708	0.673113343880511	Last_exon_tandem_APA	chr21	-	CFAP410	protein_coding	44328944,44329891	2	25,124	15.924,78.981	23,108	16.788,78.832	0.864,-0.149
ENSG00000280433.2	ENSG00000280433	0.321212121212121	0.0197023906401408	Last_exon_tandem_APA	chr21	-	ENSG00000280433	artifact	5155499,5155774,5156156,5157002	4	24,25,22,5	30,31.25,27.5,6.25	41,14,8,1	62.121,21.212,12.121,1.515	32.121,-10.038,-15.379,-4.735
ENSG00000281181.1	ENSG00000281181	0.212962962962963	0.37936881838773	Last_exon_tandem_APA	chr21	-	ENSG00000281181	lncRNA	8437645,8437778,8437907,8438050,8438110	5	2,4,5,6,3	5.556,11.111,13.889,16.667,8.333	5,6,4,3,3	18.519,22.222,14.815,11.111,11.111	12.963,11.111,0.926,-5.556,2.778
ENSG00000205758.12	ENSG00000205758	0.159225806451613	0.081882163176751	Mixed_APA	chr21	-	CRYZL1	protein_coding	33589341,33589466,33589530,33589588,33589708,33594497,33595289,33595952,33616284	9	30,50,7,11,9,9,16,7,10	19.355,32.258,4.516,7.097,5.806,5.806,10.323,4.516,6.452	84,76,7,28,15,11,2,11,9	33.6,30.4,2.8,11.2,6,4.4,0.8,4.4,3.6	14.245,-1.858,-1.716,4.103,0.194,-1.406,-9.523,-0.116,-2.852
ENSG00000276529.1	ENSG00000276529	0.0153846153846154	0.563510535020417	Single PAS	chr21	+	ENSG00000276529	lncRNA	44979253	1	128	98.462	43	100	1.538
ENSG00000198862.14	ENSG00000198862	0.0353306540007308	0.533452989159752	Last_exon_tandem_APA	chr21	-	LTN1	protein_coding	28927885,28928145,28928238,28929800,28930150	5	3,137,3,6,3	1.863,85.093,1.863,3.727,1.863	5,146,6,4,4	2.941,85.882,3.529,2.353,2.353	1.078,0.789,1.666,-1.374,0.49
ENSG00000157617.17	ENSG00000157617	0.107368421052632	0.39177603129912	Last_exon_tandem_APA	chr21	-	C2CD2	protein_coding	41885112,41886173	2	57,6	76,8	30,5	78.947,13.158	2.947,5.158
ENSG00000160216.21	ENSG00000160216	0.589549262066215	0.00378432299867004	Last_exon_tandem_APA	chr21	+	AGPAT3	protein_coding	43983137,43983349,43984673,43986540,43987140	5	4,0,14,1,0	17.391,0,60.87,4.348,0	6,5,21,21,43	5.505,4.587,19.266,19.266,39.45	-11.886,4.587,-41.604,14.918,39.45
ENSG00000223768.4	ENSG00000223768	0.155715172474949	0.179925947479131	Mixed_APA	chr21	+	LINC00205	lncRNA	45289242,45296598,45296684,45296877,45297059,45297354	6	2,5,2,16,6,29	3.175,7.937,3.175,25.397,9.524,46.032	3,6,4,27,20,109	1.676,3.352,2.235,15.084,11.173,60.894	-1.499,-4.585,-0.94,-10.313,1.649,14.862
ENSG00000224905.8	ENSG00000224905	0.215311004784689	0.362474848953563	Mixed_APA	chr21	+	ENSG00000224905	lncRNA	14115327,14115493,14124621,14124775,14144462	5	2,4,7,5,14	5.263,10.526,18.421,13.158,36.842	3,2,0,2,11	13.636,9.091,0,9.091,50	8.373,-1.435,-18.421,-4.067,13.158
ENSG00000183570.17	ENSG00000183570	-0.119313197142499	0.150612372538083	Mixed_APA	chr21	+	PCBP3	protein_coding	45933646,45942450	2	3,70	3.797,88.608	14,79	13.861,78.218	10.064,-10.39
ENSG00000160298.18	ENSG00000160298	0.233834586466165	0.204817037952375	Mixed_APA	chr21	-	C21orf58	protein_coding	46300510,46301134,46301306,46321022,46321756,46322333,46323014	7	4,25,8,6,4,4,11	5.263,32.895,10.526,7.895,5.263,5.263,14.474	1,18,0,5,1,2,0	2.857,51.429,0,14.286,2.857,5.714,0	-2.406,18.534,-10.526,6.391,-2.406,0.451,-14.474
ENSG00000184221.13	ENSG00000184221	-0.0384615384615385	0.404127536297675	Single PAS	chr21	+	OLIG1	protein_coding	33072413	1	58	98.305	74	94.872	-3.433
ENSG00000154721.15	ENSG00000154721	0.11993006993007	0.390685454957617	Mixed_APA	chr21	+	JAM2	protein_coding	25714524,25714739,25714923,25717224,25717560	5	5,42,12,11,7	5.682,47.727,13.636,12.5,7.955	1,29,8,14,7	1.538,44.615,12.308,21.538,10.769	-4.144,-3.112,-1.328,9.038,2.814
ENSG00000160305.18	ENSG00000160305	0.0732946298984035	0.472625732686931	Mixed_APA	chr21	+	DIP2A	protein_coding	46546306,46547207,46558730,46569708,46569867,46570015,46572157	7	5,9,2,59,4,8,6	4.717,8.491,1.887,55.66,3.774,7.547,5.66	8,8,5,90,11,14,2	5.128,5.128,3.205,57.692,7.051,8.974,1.282	0.411,-3.363,1.318,2.032,3.277,1.427,-4.378
ENSG00000160233.8	ENSG00000160233	-0.0610942249240122	0.644977979982852	Last_exon_tandem_APA	chr21	+	LRRC3	protein_coding	44458856,44462196,44463447	3	6,23,2	17.143,65.714,5.714	16,70,4	17.021,74.468,4.255	-0.122,8.754,-1.459
ENSG00000185437.16	ENSG00000185437	0.03125	0.607543804894457	Single PAS	chr21	+	SH3BGR	protein_coding	39515504	1	61	95.312	46	93.878	-1.434
ENSG00000142149.9	ENSG00000142149	-0.0187210379981464	0.623157745606006	Single PAS	chr21	+	HUNK	protein_coding	32002004	1	81	97.59	124	95.385	-2.205
ENSG00000275993.4	ENSG00000275993	0.0434782608695652	0.329513852136425	Single PAS	chr21	+	ENSG00000275993	artifact	6123746	1	44	95.652	43	100	4.348
ENSG00000159082.18	ENSG00000159082	-0.0211267605633803	0.619949306394069	Single PAS	chr21	-	SYNJ1	protein_coding	32628764	1	23	100	139	97.887	-2.113
ENSG00000249209.2	ENSG00000249209	0.101633393829401	0.557490042821135	Mixed_APA	chr21	-	ENSG00000249209	protein_coding	33901026,33903458	2	2,16	10.526,84.211	6,22	20.69,75.862	10.164,-8.349
ENSG00000177692.12	ENSG00000177692	0.644042232277526	0.00224997514217762	Mixed_APA	chr21	-	DNAJC28	protein_coding	33485529,33488227	2	5,31	12.821,79.487	13,3	76.471,17.647	63.65,-61.84
ENSG00000243646.11	ENSG00000243646	-0.0350877192982456	0.58406578590881	Single PAS	chr21	+	IL10RB	protein_coding	33297219	1	25	100	54	94.737	-5.263
ENSG00000166979.13	ENSG00000166979	0.130434782608696	0.254736025212691	Single PAS	chr21	+	EVA1C	protein_coding	32515387	1	19	82.609	25	100	17.391
